,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  24/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.75,29.9,35.18,77.77,139.64,115.67,111.84,92.52,43.3,58.04,191.98,141.16,129.89,128.65,128.43,103.21,52.44,278.4,22.23,24.6,32.32,71.48
Maximum Price,66.0,59.0,67.0,132.0,192.0,157.0,167.0,144.0,70.0,85.0,275.0,258.0,220.0,213.0,245.0,175.0,143.0,558.0,39.0,60.0,67.0,200.0
Minimum Price,23.0,21.0,25.0,54.0,73.0,65.0,75.0,67.0,36.0,40.0,130.0,108.0,93.0,100.0,100.0,83.0,34.0,149.0,9.0,11.0,10.0,25.0
Modal Price,35.0,28.0,31.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,125.0,120.0,130.0,100.0,50.0,240.0,28.0,20.0,32.5,60.0
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.67,53.0,70.67,236.5,195.67,198.33,,140.67,128.0,76.0,308.33,20.33,46.67,56.67,127.67
Andhra Pradesh,53.4,40.8,44.2,71.4,148.4,119.8,115.4,99.6,42.6,58.2,177.8,196.0,116.6,175.0,119.2,99.0,58.2,325.0,21.2,31.4,29.0,50.2
Arunachal pradesh,33.75,42.0,37.5,83.75,133.75,118.75,116.25,100.0,50.0,71.0,,158.33,153.33,139.33,212.5,,70.0,300.0,20.0,24.0,35.67,106.67
Assam,42.04,30.8,36.96,77.08,132.88,106.57,110.0,90.92,44.88,69.75,199.2,148.04,141.79,141.88,158.6,117.88,57.46,259.79,13.46,21.96,36.21,84.95
Bihar,37.75,26.17,32.89,72.06,133.81,111.06,107.69,79.39,42.85,54.67,188.71,139.23,126.09,130.26,169.23,110.86,47.88,274.73,22.67,19.85,29.79,89.82
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,35.0,60.0
Chhattisgarh,37.78,33.67,36.22,76.78,135.44,103.89,106.56,89.11,41.89,59.0,194.67,147.56,127.67,130.44,143.0,119.33,48.11,282.67,23.44,23.33,28.56,53.56
Delhi,39.0,28.0,31.0,80.0,162.0,128.0,115.0,88.0,41.0,53.0,218.0,143.0,130.0,131.0,144.0,104.0,60.0,243.0,26.0,27.0,37.0,53.0
DNH and DD,44.67,39.33,43.33,79.33,146.33,128.33,123.33,95.67,41.0,64.0,209.33,154.67,141.0,132.33,133.33,101.67,67.33,350.0,27.0,20.33,31.0,49.0
Goa,47.0,43.0,42.0,81.0,158.5,126.0,123.5,97.5,42.0,57.5,216.0,161.0,141.5,152.5,121.5,100.0,56.5,315.5,24.5,33.5,44.5,44.0
Gujarat,37.67,32.33,37.0,76.17,139.33,118.83,111.33,95.67,41.67,58.67,194.17,147.33,140.5,145.67,135.17,107.17,50.83,279.83,14.33,23.33,24.67,89.5
Haryana,40.25,25.75,32.75,67.75,128.0,101.75,99.25,93.75,42.25,59.0,188.25,143.75,132.5,127.75,161.0,114.0,45.5,235.75,25.75,17.25,22.75,80.0
Himachal Pradesh,36.92,21.0,31.83,74.08,141.0,120.08,112.58,87.17,44.17,53.08,219.5,164.08,143.17,133.9,152.4,121.5,46.0,257.67,27.58,29.58,37.67,71.75
