,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  05/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.11,29.71,35.07,75.46,136.65,114.95,111.55,91.75,43.17,58.07,190.89,140.71,129.79,129.16,129.36,103.9,51.69,273.72,22.01,24.18,27.4,139.08
Maximum Price,65.0,51.0,67.0,135.0,180.0,155.0,163.0,147.0,70.0,80.0,270.0,249.0,220.0,197.0,244.0,175.0,143.0,558.0,37.0,60.0,63.0,245.0
Minimum Price,25.0,21.0,25.0,54.0,73.0,65.0,75.0,68.0,36.0,40.0,130.0,110.0,93.0,100.0,102.0,83.0,35.0,149.0,9.0,11.0,10.0,40.0
Modal Price,35.0,25.0,35.0,70.0,140.0,110.0,110.0,95.0,42.0,60.0,205.0,130.0,130.0,120.0,120.0,100.0,50.0,240.0,28.0,20.0,25.0,120.0
Andaman and Nicobar,41.0,,66.0,84.33,148.67,140.67,127.67,99.67,53.67,71.0,236.5,199.33,198.33,,132.0,129.0,76.33,308.33,20.67,43.33,48.33,178.0
Andhra Pradesh,56.25,41.5,44.5,73.75,151.25,124.0,118.0,102.5,42.5,57.75,176.25,179.75,116.75,150.0,113.5,93.5,58.25,356.0,21.75,29.5,27.5,130.25
Arunachal pradesh,36.0,42.0,40.0,90.0,130.0,125.0,120.0,100.0,55.0,72.0,,130.0,120.0,130.0,200.0,,,,15.0,25.0,40.0,110.0
Assam,40.93,31.36,36.67,74.96,128.33,105.88,108.93,90.44,44.78,69.62,199.17,146.07,138.0,139.74,155.41,115.89,56.85,256.42,13.3,22.37,30.63,96.0
Bihar,37.63,26.14,32.8,69.66,131.34,111.03,107.06,77.74,42.94,55.12,189.73,138.56,126.18,132.76,175.46,111.44,47.56,272.41,22.24,19.23,24.23,136.4
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,,,,,,,,,,,,,,
Chhattisgarh,38.71,35.0,37.43,72.71,135.86,103.29,106.57,84.33,41.43,61.5,193.67,145.67,121.33,126.83,145.67,120.5,48.86,297.57,24.43,24.29,26.71,161.0
Delhi,39.0,28.0,31.0,72.0,148.0,127.0,117.0,87.0,41.0,53.0,216.0,139.0,130.0,126.0,143.0,106.0,60.0,243.0,26.0,27.0,30.0,213.0
DNH and DD,43.67,38.33,41.67,77.67,145.0,127.0,118.33,95.0,41.0,64.0,203.67,152.33,137.67,138.67,131.0,100.33,67.67,350.67,27.67,22.0,25.0,147.33
Gujarat,37.14,32.71,37.57,78.57,136.0,119.14,107.71,95.71,41.43,57.29,193.57,154.86,141.14,153.29,141.71,105.71,49.86,279.86,14.14,23.43,22.57,127.43
Haryana,39.75,26.0,32.75,66.5,127.25,101.75,100.5,92.5,42.33,59.67,186.0,143.75,132.5,129.0,165.5,114.0,45.67,250.0,27.67,18.0,23.75,127.25
Himachal Pradesh,35.58,21.0,31.58,70.67,140.75,118.67,113.42,87.0,44.08,53.08,217.75,161.5,142.92,133.8,152.0,120.5,45.92,256.08,27.58,26.42,32.83,175.83
Jammu and Kashmir,39.5,30.5,40.75,83.25,125.0,118.75,114.5,100.0,51.75,51.75,250.0,162.75,149.75,147.75,169.75,136.67,49.25,317.75,26.67,27.0,32.75,132.0
