,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  16/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.62,29.89,35.01,76.19,137.15,114.97,111.26,92.04,43.14,57.96,191.3,141.05,129.4,129.34,128.93,103.44,51.94,278.33,22.12,24.42,29.83,105.08
Maximum Price,65.0,59.0,67.0,132.0,180.0,156.0,165.0,145.0,70.0,80.0,270.0,258.0,220.0,205.0,244.0,175.0,143.0,558.0,38.0,60.0,65.0,213.0
Minimum Price,25.0,21.0,24.0,54.0,73.0,65.0,75.0,67.0,36.0,40.0,130.0,108.0,93.0,100.0,105.0,83.0,34.0,149.0,9.0,11.0,10.0,40.0
Modal Price,40.0,28.0,32.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,120.0,120.0,124.0,95.0,50.0,240.0,27.5,20.0,30.0,100.0
Andaman and Nicobar,42.0,,66.5,85.5,146.0,142.5,129.5,103.0,53.0,70.5,270.0,209.5,203.5,,159.5,135.0,78.0,305.0,21.5,45.0,49.0,180.0
Andhra Pradesh,53.4,40.8,44.2,71.0,147.6,119.8,115.4,99.6,42.2,58.2,177.8,196.0,116.6,175.0,119.4,99.0,58.2,325.0,21.2,31.6,29.0,62.8
Arunachal pradesh,37.67,42.0,39.33,91.0,137.67,121.0,120.0,102.33,51.5,73.0,,143.5,120.0,136.5,200.0,,70.0,333.0,16.5,24.0,39.0,129.0
Assam,41.15,31.2,36.58,76.19,131.76,107.74,109.77,90.5,45.04,69.27,199.5,146.46,138.53,139.38,154.48,115.35,56.69,257.16,13.35,22.54,32.38,97.14
Bihar,37.58,26.22,32.56,69.94,131.97,110.81,107.53,78.17,42.81,55.06,190.6,139.11,124.69,131.0,168.81,110.97,47.86,275.89,22.61,19.36,25.94,127.19
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,30.0,80.0
