,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  30/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.02,30.06,35.61,78.16,141.34,115.86,111.76,92.3,43.5,58.89,190.25,140.55,129.0,127.1,127.82,103.23,53.09,280.84,22.41,24.76,33.67,57.9
Maximum Price,65.0,59.0,67.0,132.0,177.0,161.0,156.0,143.0,70.0,85.0,270.0,258.0,220.0,205.0,244.0,175.0,150.0,558.0,33.0,60.0,67.0,153.0
Minimum Price,23.0,21.0,27.0,55.0,87.0,72.0,85.0,66.0,36.0,40.0,130.0,110.0,93.0,100.0,105.0,83.0,35.0,154.0,9.0,11.0,14.0,17.0
Modal Price,40.0,28.0,31.0,80.0,145.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,130.0,120.0,152.5,100.0,50.0,300.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,195.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,106.67
Andhra Pradesh,53.4,40.8,44.2,73.6,150.4,120.2,115.4,99.8,43.2,58.2,177.8,196.4,117.2,175.0,119.2,98.6,58.2,325.0,21.2,31.4,30.2,42.0
Arunachal pradesh,33.33,,37.67,88.33,136.67,117.67,115.67,99.0,51.0,71.33,,157.67,153.33,143.33,212.5,,70.0,316.5,21.0,25.0,40.67,95.67
Assam,41.75,31.45,36.54,76.93,133.96,107.46,109.57,91.18,44.96,69.81,199.5,148.11,139.68,140.82,156.04,116.67,56.61,256.44,13.21,21.79,35.0,82.2
Bihar,38.09,25.97,32.8,73.69,135.31,111.8,107.8,80.11,43.2,55.23,193.75,138.89,126.46,130.23,169.11,110.59,48.26,276.2,22.89,19.31,31.49,67.31
Chhattisgarh,38.5,30.75,35.25,72.25,137.5,99.25,105.5,83.0,41.25,66.5,191.25,149.0,122.5,130.25,156.0,122.5,46.5,317.75,25.75,24.5,31.25,53.0
Delhi,39.0,28.0,31.0,80.0,162.0,128.0,115.0,89.0,41.0,53.0,218.0,144.0,130.0,130.0,144.0,104.0,60.0,243.0,26.0,27.0,38.0,43.0
DNH and DD,45.67,39.33,44.33,81.0,151.0,130.0,121.33,96.33,41.33,64.0,211.33,155.0,140.67,132.67,132.67,101.67,68.0,350.0,27.0,21.67,33.33,41.67
Goa,47.0,43.0,42.0,83.5,162.0,125.0,122.5,97.5,43.0,57.5,216.0,161.0,145.0,152.5,122.5,100.0,56.5,315.5,24.5,35.0,37.5,36.5
Gujarat,38.33,33.33,39.33,73.67,134.67,113.67,107.67,97.0,43.0,57.67,185.67,141.0,134.0,145.33,129.33,111.67,50.0,283.0,14.67,26.67,27.67,59.0
Haryana,40.5,26.0,33.0,68.0,130.75,102.0,99.25,94.0,42.25,59.25,188.75,143.5,133.0,128.0,158.75,114.25,45.5,237.0,25.75,17.25,23.0,71.0
Himachal Pradesh,37.08,21.0,32.17,76.08,142.5,120.5,112.5,86.83,44.5,53.08,219.5,165.0,140.08,133.7,152.4,121.5,46.08,257.92,27.58,30.5,38.75,58.0
Jammu and Kashmir,37.67,31.33,41.67,87.67,127.67,118.33,116.67,101.67,51.67,47.67,243.0,154.67,144.67,139.33,168.67,125.0,49.0,319.67,26.67,27.67,40.0,66.67
Jharkhand,37.79,30.94,35.0,75.21,141.53,107.0,106.32,80.68,43.76,56.88,186.46,139.56,123.11,132.5,157.35,106.44,48.18,295.81,23.0,19.53,29.21,64.06
