,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  11/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.41,29.84,34.98,75.83,136.41,114.81,111.05,92.03,43.15,58.11,190.85,141.32,129.56,130.08,128.67,103.52,51.64,278.33,22.08,24.31,28.09,124.43
Maximum Price,65.0,59.0,67.0,132.0,180.0,156.0,165.0,145.0,70.0,80.0,270.0,258.0,220.0,202.0,244.0,175.0,143.0,558.0,37.0,60.0,65.0,242.0
Minimum Price,25.0,21.0,24.0,54.0,73.0,65.0,75.0,67.0,36.0,40.0,130.0,108.0,93.0,100.0,105.0,83.0,34.0,149.0,9.0,11.0,10.0,37.0
Modal Price,40.0,25.0,35.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,120.0,150.0,122.0,100.0,50.0,240.0,27.5,20.0,25.0,120.0
Andaman and Nicobar,41.0,,66.0,84.67,149.33,140.67,127.67,99.67,53.0,70.67,236.5,199.33,198.33,,146.67,128.0,75.33,308.33,20.33,46.67,48.33,198.0
Andhra Pradesh,53.0,41.0,44.4,71.6,147.6,120.6,115.4,101.8,42.2,58.2,177.8,195.4,116.8,175.0,118.2,99.0,57.8,325.0,21.4,31.6,27.6,94.0
Arunachal pradesh,37.67,42.0,39.33,91.0,137.67,121.0,120.0,102.33,51.5,73.0,,143.5,120.0,136.5,200.0,,70.0,333.0,16.5,24.0,39.0,125.0
Assam,41.32,31.36,36.39,75.89,130.93,106.92,109.36,90.96,44.86,69.43,199.5,147.18,139.39,141.21,156.39,116.44,56.54,256.67,13.25,22.29,31.07,91.5
Bihar,37.6,26.09,32.57,69.43,131.71,110.97,107.71,78.46,43.0,54.74,187.44,138.26,124.86,130.8,168.61,109.97,47.17,280.4,22.34,19.17,25.03,140.0
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,25.0,175.0
Chhattisgarh,37.33,33.22,36.22,74.67,132.0,102.0,105.33,88.56,41.44,58.11,190.67,148.11,127.0,130.78,145.11,118.33,48.56,283.67,23.22,23.0,25.11,121.33
Delhi,39.0,28.0,31.0,75.0,155.0,130.0,118.0,85.0,41.0,53.0,216.0,139.0,130.0,131.0,144.0,106.0,60.0,243.0,26.0,27.0,30.0,127.0
DNH and DD,44.67,38.67,41.0,77.33,146.33,129.0,119.67,94.67,41.0,64.33,207.33,153.0,140.33,137.67,133.0,100.33,67.67,350.0,27.0,21.67,25.67,128.0
