,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  22/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.78,29.87,35.17,77.5,139.23,115.49,111.66,92.37,43.27,58.01,191.07,141.33,129.88,129.38,128.49,103.01,52.03,278.42,22.22,24.55,31.69,78.07
Maximum Price,65.0,59.0,67.0,132.0,180.0,158.0,165.0,144.0,70.0,85.0,257.0,258.0,220.0,205.0,245.0,175.0,143.0,558.0,38.0,60.0,67.0,200.0
Minimum Price,23.0,21.0,25.0,54.0,73.0,65.0,75.0,67.0,36.0,40.0,130.0,108.0,93.0,100.0,104.0,83.0,34.0,149.0,9.0,11.0,10.0,29.0
Modal Price,35.0,26.0,35.0,80.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,127.5,120.0,130.0,100.0,50.0,240.0,27.0,20.0,30.0,60.0
Andaman and Nicobar,41.5,,66.0,82.0,154.5,137.0,122.0,94.5,52.0,72.0,203.0,182.0,204.0,,131.0,119.5,71.5,320.0,19.0,45.0,60.0,118.5
Andhra Pradesh,53.4,40.8,44.2,71.4,148.4,119.8,115.4,99.6,42.2,58.2,177.8,196.0,116.6,175.0,119.2,99.0,58.2,325.0,21.2,31.4,29.6,56.6
Arunachal pradesh,31.67,42.0,38.33,86.67,130.0,123.33,116.67,100.0,52.5,70.0,,160.0,170.0,145.0,212.5,,70.0,300.0,22.5,26.0,38.5,90.0
Assam,41.42,31.5,37.21,76.71,133.3,106.9,110.29,89.83,45.21,69.58,202.0,147.21,139.22,139.75,154.79,116.2,57.67,256.04,13.58,22.63,35.21,83.71
Bihar,37.83,26.03,32.69,71.56,134.17,111.11,107.44,79.0,42.94,55.03,190.35,139.06,125.19,130.86,169.83,111.23,47.6,278.63,22.26,19.29,29.09,95.4
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,30.0,70.0
