,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  08/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.24,29.78,34.92,75.75,136.03,114.58,110.96,91.94,43.14,58.06,190.62,141.1,129.75,129.64,129.4,104.04,51.94,277.04,22.14,24.34,27.77,134.47
Maximum Price,65.0,53.0,67.0,135.0,181.0,157.0,163.0,147.0,70.0,80.0,270.0,258.0,220.0,202.0,244.0,175.0,140.0,558.0,37.0,60.0,63.0,260.0
Minimum Price,25.0,21.0,24.0,54.0,73.0,65.0,75.0,65.0,36.0,40.0,130.0,108.0,93.0,100.0,102.0,83.0,34.0,149.0,9.0,11.0,10.0,50.0
Modal Price,35.0,25.0,35.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,120.0,120.0,130.0,100.0,50.0,240.0,28.0,20.0,25.0,120.0
Andaman and Nicobar,41.0,,66.0,84.67,149.33,140.67,127.67,99.67,53.0,70.67,236.5,199.33,198.33,,146.67,128.0,75.33,308.33,20.33,46.0,48.33,180.0
Andhra Pradesh,53.0,41.0,44.4,71.6,147.6,120.6,115.4,101.8,42.0,58.2,177.8,195.4,116.8,175.0,118.2,99.0,57.4,325.0,21.4,31.4,27.0,122.2
Arunachal pradesh,37.67,42.0,39.33,91.0,134.33,121.0,120.0,102.33,51.5,73.0,,143.5,120.0,136.5,200.0,,70.0,333.0,16.5,24.0,39.0,125.0
Assam,41.0,31.36,35.96,75.19,129.19,105.5,108.23,90.31,44.58,69.62,199.5,146.62,139.1,140.81,156.32,116.88,56.27,255.72,13.58,22.15,30.54,96.86
Bihar,37.58,26.03,32.58,69.32,130.71,110.47,107.03,78.03,42.95,54.81,191.12,138.65,125.97,132.08,171.55,112.07,47.32,275.81,22.38,19.34,24.63,139.76
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,25.0,190.0
Chhattisgarh,37.44,33.44,36.0,74.44,132.67,102.67,104.89,88.44,41.11,58.44,192.67,147.22,126.89,129.44,146.63,118.0,48.33,283.89,23.22,23.22,25.22,144.22
Delhi,39.0,28.0,31.0,73.0,148.0,127.0,117.0,87.0,41.0,53.0,216.0,139.0,130.0,126.0,143.0,106.0,60.0,243.0,26.0,27.0,30.0,177.0
DNH and DD,44.67,37.67,41.33,77.33,145.67,128.0,119.0,94.33,41.0,64.67,206.33,154.33,139.67,137.0,132.0,100.33,67.67,351.0,27.0,22.0,25.33,150.67
Goa,45.5,43.0,41.5,77.5,157.5,126.0,123.5,96.5,42.0,57.5,216.0,161.0,141.0,152.0,120.0,100.0,55.0,315.5,24.5,31.5,31.5,135.0
Gujarat,37.14,32.71,36.86,77.71,136.14,119.43,107.71,95.43,41.43,57.57,194.14,154.57,141.43,152.0,141.43,105.71,50.43,282.71,14.86,23.14,22.71,128.14
Haryana,39.75,26.0,32.75,66.5,127.25,101.75,100.5,92.5,42.25,58.75,186.0,143.75,132.5,129.0,165.5,114.0,45.25,235.0,25.75,18.0,23.75,138.75
Himachal Pradesh,35.67,21.0,31.58,70.75,141.0,119.17,113.58,87.08,44.08,53.08,218.75,161.92,142.92,133.8,152.8,121.0,45.83,256.08,27.58,26.58,33.0,164.92
Jammu and Kashmir,37.0,31.25,39.5,85.0,132.5,117.5,117.0,100.0,50.0,47.0,243.0,152.75,143.0,134.5,166.5,133.33,49.0,329.75,27.0,28.25,32.75,109.33
Jharkhand,37.37,30.44,34.53,73.11,135.05,106.95,105.74,79.26,43.56,57.24,188.0,141.11,123.37,133.61,155.29,106.94,47.61,287.53,23.56,19.58,23.84,137.95
Karnataka,53.84,41.72,45.25,85.97,147.63,130.38,120.34,104.34,41.59,49.56,179.94,171.94,123.03,141.81,124.81,99.81,51.94,294.5,19.66,30.75,28.75,109.06
Kerala,50.14,43.86,46.71,94.79,159.29,139.36,131.54,108.86,42.57,53.93,226.0,192.5,156.86,,121.93,101.54,61.57,232.07,14.0,35.57,27.93,106.43
Madhya Pradesh,35.77,27.23,32.74,73.67,136.53,104.98,105.47,90.35,41.67,58.31,189.69,136.12,120.72,115.72,145.93,112.82,46.91,243.33,19.23,20.7,21.56,137.86
Maharashtra,47.16,37.63,42.74,72.58,151.32,118.63,116.89,96.05,42.89,57.21,189.74,161.89,131.84,115.21,129.42,106.44,51.95,291.95,23.58,27.95,24.05,131.26
Meghalaya,37.7,37.9,37.6,78.0,128.38,127.33,112.44,90.3,45.9,72.6,143.0,135.8,142.75,136.9,180.0,138.6,76.67,359.3,22.3,26.2,39.4,85.2
Mizoram,45.91,40.71,44.22,97.13,117.4,115.0,117.0,104.6,50.0,74.18,174.67,191.89,176.75,150.44,179.67,134.0,97.86,493.75,28.0,37.0,48.7,67.89
Nagaland,39.94,40.14,47.25,98.75,129.42,119.63,123.33,96.44,51.0,69.93,200.0,145.94,177.5,155.19,186.0,137.5,78.89,307.0,17.56,28.81,47.5,112.5
Odisha,36.46,37.63,39.8,69.62,138.88,109.54,105.15,78.46,43.12,52.28,175.29,139.65,117.21,140.7,120.27,97.62,50.12,283.15,26.42,20.65,25.58,145.19
Puducherry,43.0,39.0,34.0,74.0,168.0,123.0,113.0,89.0,40.0,45.0,205.0,166.0,149.0,,113.0,94.0,49.0,387.0,23.0,29.0,29.0,150.0
Punjab,36.9,24.3,28.6,75.4,144.0,114.4,107.9,94.1,42.3,57.0,195.0,130.5,125.3,121.0,147.78,103.43,52.1,276.6,26.5,19.7,26.6,168.2
Rajasthan,39.0,29.89,32.67,71.11,113.19,104.7,100.22,88.3,41.37,51.73,183.23,154.08,126.42,140.56,161.91,133.75,43.04,298.26,20.22,21.48,23.19,154.81
Sikkim,53.0,35.75,43.25,81.25,130.5,130.75,120.0,100.0,48.25,63.0,,176.5,133.25,155.33,190.25,,59.0,437.5,18.75,31.5,36.25,129.5
Tamil Nadu,55.72,43.17,51.52,76.24,154.2,130.0,117.72,89.65,41.8,45.2,209.64,188.32,126.28,,117.12,94.96,53.44,286.61,23.92,34.56,28.76,88.68
Telangana,47.9,38.4,42.8,69.4,129.3,114.7,107.0,89.6,39.8,63.3,168.0,175.7,120.8,154.0,122.0,100.6,54.5,296.1,18.4,30.1,27.4,113.6
Tripura,38.0,,36.0,76.0,122.0,114.33,106.25,108.5,45.5,69.75,,145.75,126.0,134.5,169.25,110.0,68.25,213.75,11.0,23.75,31.75,89.0
Uttar Pradesh,36.44,25.55,31.63,71.95,131.64,110.59,107.2,91.49,41.97,62.12,192.78,142.68,131.25,136.49,164.58,114.59,46.96,243.69,26.71,20.12,25.55,161.03
Uttarakhand,34.33,26.0,31.33,84.0,129.0,106.0,112.33,107.33,41.0,60.67,166.67,138.33,138.33,141.0,156.33,114.0,50.33,251.33,28.0,23.0,25.0,142.0
West Bengal,43.59,29.7,37.32,75.45,132.73,114.0,117.91,105.36,43.76,54.52,204.0,133.0,115.9,118.24,135.24,103.26,51.62,276.1,22.48,21.14,27.43,174.9
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
