,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  18/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.61,29.87,35.19,76.76,137.81,115.45,111.45,92.09,43.22,57.95,191.72,141.21,129.59,129.51,128.97,103.31,51.92,277.76,22.24,24.45,30.5,95.96
Maximum Price,65.0,59.0,67.0,132.0,180.0,156.0,165.0,145.0,70.0,83.0,270.0,258.0,220.0,205.0,244.0,175.0,143.0,558.0,38.0,60.0,67.0,220.0
Minimum Price,23.0,21.0,24.0,54.0,73.0,65.0,75.0,67.0,36.0,40.0,130.0,108.0,93.0,100.0,104.0,83.0,34.0,149.0,9.0,11.0,10.0,29.0
Modal Price,40.0,28.0,35.0,75.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,140.0,125.0,120.0,130.0,100.0,50.0,240.0,28.0,20.0,30.0,100.0
Andaman and Nicobar,41.0,,66.0,84.67,149.33,141.0,127.67,99.67,52.67,70.67,236.5,198.0,198.33,,146.67,128.0,75.33,308.33,20.33,46.67,50.0,180.0
Andhra Pradesh,53.4,40.8,44.2,71.0,147.6,119.8,115.4,99.6,42.2,58.2,177.8,196.0,116.6,175.0,119.4,99.0,58.2,325.0,21.2,31.6,29.2,65.0
Arunachal pradesh,34.0,42.0,38.25,88.25,133.25,120.75,117.5,102.0,51.0,71.33,,159.0,153.33,145.0,212.5,,70.0,316.5,21.0,25.0,39.0,105.67
Assam,41.44,31.5,36.64,76.08,131.26,107.14,109.56,89.76,45.0,70.04,199.5,146.52,137.33,138.08,154.6,113.88,56.12,258.63,13.48,22.24,33.44,90.64
Bihar,38.16,26.24,32.76,70.97,133.08,111.46,107.51,78.22,42.86,55.53,190.47,138.41,125.97,130.73,170.07,111.6,47.86,273.11,22.39,19.43,27.03,115.62
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,30.0,70.0
Chhattisgarh,37.86,32.29,35.43,72.17,130.33,101.83,106.67,86.17,41.5,59.33,188.83,150.67,127.83,135.17,153.17,124.83,45.83,295.83,20.83,23.29,27.43,84.33
Delhi,39.0,28.0,31.0,77.0,157.0,130.0,117.0,87.0,41.0,53.0,216.0,139.0,130.0,131.0,144.0,106.0,60.0,243.0,26.0,27.0,35.0,87.0
DNH and DD,44.67,38.67,42.33,77.67,143.0,127.33,121.67,94.33,41.0,64.0,210.0,154.0,140.0,133.0,133.33,100.33,67.33,350.0,27.0,21.33,31.67,67.33
Goa,47.0,43.0,41.5,77.5,158.5,126.0,123.5,96.5,42.0,57.5,216.0,161.0,141.0,152.0,120.0,100.0,55.0,315.5,24.5,33.5,37.0,72.0
Gujarat,37.29,32.57,37.0,78.14,136.14,119.57,109.0,95.57,41.57,57.57,195.57,153.43,140.71,150.57,140.14,105.86,50.29,281.29,14.86,22.86,23.0,99.57
Haryana,40.25,25.75,32.75,66.75,125.0,100.75,99.25,92.75,42.25,58.75,185.75,143.75,132.5,128.0,165.5,113.5,45.25,237.0,26.0,18.0,24.0,126.75
Himachal Pradesh,36.67,21.0,31.92,71.75,140.92,119.42,112.08,86.83,44.08,53.08,218.75,164.0,143.08,133.2,152.8,121.0,45.92,256.67,27.58,28.67,37.08,123.0
Jammu and Kashmir,37.67,31.33,41.67,87.67,126.67,118.33,116.0,100.0,51.67,47.67,243.0,157.67,148.0,142.0,169.67,125.0,49.0,319.67,26.67,28.33,36.0,92.67
Jharkhand,37.94,30.65,34.67,73.78,136.61,107.44,106.5,80.33,43.88,57.19,187.23,142.39,123.39,133.76,154.13,106.71,47.94,291.19,23.65,19.67,27.17,119.28
Karnataka,53.91,41.81,45.22,86.47,148.0,130.78,120.44,104.53,41.69,49.78,179.63,171.31,123.06,141.42,124.53,99.38,51.72,293.5,19.66,30.78,30.84,65.53
Kerala,49.83,44.17,47.58,94.67,158.83,139.67,131.82,110.08,42.58,53.25,229.17,198.25,156.83,,122.5,100.91,64.17,236.58,14.08,35.33,33.5,61.45
Madhya Pradesh,36.41,27.37,33.07,74.8,139.95,105.68,106.05,90.02,41.9,57.48,191.66,137.54,121.71,116.1,146.05,113.64,47.52,243.05,19.3,20.22,23.83,83.44
Maharashtra,47.05,37.84,42.74,74.79,153.16,119.58,117.26,96.21,43.05,57.0,190.11,161.44,131.11,115.21,128.26,106.06,51.79,291.26,23.53,27.58,26.21,89.53
Meghalaya,37.5,37.5,37.5,78.0,128.38,127.33,111.67,89.8,45.8,72.6,143.0,136.5,140.75,137.4,180.0,138.6,78.67,359.3,22.9,25.9,41.7,90.1
Mizoram,45.89,42.75,44.89,99.14,127.8,127.5,122.8,105.38,50.0,76.33,178.33,192.0,166.0,146.11,183.33,134.0,101.6,494.5,29.0,38.56,50.11,78.71
Nagaland,40.75,40.14,47.88,97.92,130.67,120.88,123.33,96.75,50.69,70.64,200.0,142.33,179.17,155.81,186.0,137.5,75.56,309.33,17.56,28.5,48.13,119.38
Odisha,37.0,37.78,40.0,73.08,142.2,110.96,106.12,78.64,43.4,52.08,174.57,141.08,116.78,140.5,120.2,96.92,49.68,277.1,26.28,20.8,29.6,87.68
Punjab,36.36,24.18,29.27,77.91,147.27,115.82,108.64,91.82,42.73,56.73,190.3,127.55,124.36,118.73,146.0,105.13,51.73,276.09,26.82,18.91,32.0,103.0
Rajasthan,39.12,29.96,32.73,71.77,114.27,105.62,101.88,90.12,41.58,51.68,184.96,152.42,130.54,140.52,162.3,133.33,43.54,295.85,20.19,21.81,23.88,132.08
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,446.0,19.0,35.2,38.0,123.6
Tamil Nadu,55.33,43.82,52.23,78.4,157.47,131.27,117.43,90.88,41.8,45.8,211.0,184.07,124.4,,116.4,93.87,53.37,287.1,23.3,34.23,34.23,50.53
Telangana,48.5,38.4,42.9,69.7,131.2,115.0,106.1,90.2,39.56,62.11,168.1,172.8,118.1,153.0,119.7,98.9,54.44,293.22,18.44,29.5,27.6,77.4
Tripura,37.5,,35.0,76.0,132.5,120.0,107.0,107.0,46.0,70.0,,136.0,136.5,131.0,179.0,115.0,70.0,200.0,12.0,25.0,41.5,74.0
Uttar Pradesh,36.53,25.68,31.84,72.79,132.95,110.05,106.92,91.68,41.95,62.11,192.89,142.03,130.92,136.03,163.89,114.24,47.35,243.57,26.76,19.99,27.59,103.08
Uttarakhand,35.25,26.0,32.5,83.75,124.75,106.0,110.25,101.25,41.25,63.0,163.5,139.75,143.0,142.5,154.75,114.0,51.0,263.25,28.25,22.5,27.0,116.5
West Bengal,43.57,29.8,37.78,75.96,133.65,114.0,117.87,105.22,43.64,54.41,202.91,133.05,114.36,117.77,135.36,102.45,51.68,276.27,22.0,21.29,31.86,117.29
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
