,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  20/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.7,29.62,35.16,75.52,139.62,114.65,110.53,91.38,42.67,56.74,191.07,140.18,126.88,127.36,128.04,102.61,50.31,269.98,22.71,23.47,29.76,84.54
Maximum Price,66.0,51.0,67.0,132.0,180.0,157.0,156.0,143.0,60.0,76.0,257.0,258.0,220.0,200.0,244.0,170.0,80.0,558.0,38.0,48.0,50.0,193.0
Minimum Price,23.0,21.0,25.0,54.0,73.0,65.0,75.0,67.0,37.0,40.0,130.0,110.0,93.0,100.0,105.0,83.0,35.0,149.0,9.0,11.0,10.0,33.0
Modal Price,35.0,28.0,32.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,130.0,123.0,124.0,100.0,50.0,240.0,27.0,20.0,30.0,80.0
Andaman and Nicobar,44.0,,67.0,81.0,152.0,135.0,119.0,96.0,51.0,73.0,,183.0,220.0,,139.0,125.0,71.0,325.0,20.0,40.0,50.0,120.0
Andhra Pradesh,53.25,40.33,46.0,72.75,146.0,119.0,115.33,102.0,42.25,62.5,178.75,193.33,114.0,200.0,122.25,100.25,60.75,261.67,20.67,34.0,30.0,63.75
Arunachal pradesh,34.67,42.0,37.67,87.67,131.0,121.0,116.67,106.67,49.0,71.0,,173.5,170.0,153.5,225.0,,70.0,312.5,24.0,21.5,41.0,101.0
Assam,41.41,30.83,36.47,74.24,131.75,101.93,109.06,91.71,45.06,70.0,234.5,145.24,135.58,134.88,156.86,114.89,58.82,267.63,14.59,21.24,33.82,86.6
Bihar,37.5,26.14,32.04,71.04,134.39,111.68,107.82,77.36,43.07,55.61,191.77,138.36,122.89,129.14,171.04,108.78,46.64,279.25,23.0,19.43,28.46,106.36
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,30.0,70.0
