,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  15/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.71,29.67,35.09,75.35,138.15,114.79,111.05,91.96,43.05,57.51,188.93,140.34,127.49,126.69,127.86,102.99,51.16,275.73,22.36,23.91,28.78,108.33
Maximum Price,65.0,51.0,67.0,132.0,171.0,156.0,156.0,145.0,70.0,80.0,258.0,235.0,220.0,197.0,207.0,170.0,100.0,558.0,30.0,48.0,60.0,198.0
Minimum Price,27.0,21.0,27.0,55.0,87.0,82.0,87.0,69.0,37.0,40.0,130.0,110.0,93.0,100.0,108.0,83.0,35.0,149.0,9.0,11.0,10.0,47.0
Modal Price,36.0,27.0,32.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,130.0,120.0,130.0,105.0,50.0,234.0,28.0,20.0,30.0,100.0
Andaman and Nicobar,44.0,,67.0,81.0,152.0,135.0,119.0,96.0,51.0,73.0,,187.0,220.0,,139.0,125.0,71.0,325.0,20.0,40.0,45.0,187.0
Andhra Pradesh,56.75,41.0,43.75,72.5,150.75,122.25,116.75,98.75,42.75,57.75,176.75,180.5,115.75,150.0,114.5,93.75,59.25,356.75,21.5,29.5,28.75,72.25
Assam,40.53,30.4,36.88,77.24,134.38,106.73,109.59,90.12,45.29,71.18,202.25,144.71,138.42,135.12,157.0,109.0,58.06,267.94,14.65,22.88,32.24,104.57
Bihar,38.33,26.0,32.33,69.57,132.29,112.67,106.86,78.29,43.19,55.05,180.7,136.95,123.81,129.52,171.76,107.35,47.0,287.19,22.24,19.19,25.33,130.86
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,30.0,90.0
Chhattisgarh,37.6,32.2,36.0,69.4,135.4,100.4,106.6,82.6,41.8,63.2,190.0,143.6,121.2,128.6,150.2,120.6,47.2,301.6,22.8,22.8,27.6,93.4
Delhi,39.0,28.0,31.0,75.0,155.0,130.0,118.0,85.0,41.0,53.0,216.0,139.0,130.0,131.0,144.0,106.0,60.0,243.0,26.0,27.0,30.0,107.0
DNH and DD,44.0,38.67,41.33,77.33,144.67,127.33,120.67,94.67,41.0,64.0,210.0,154.67,140.33,137.67,133.33,100.33,67.67,350.0,27.0,21.33,27.33,89.0
Gujarat,36.5,33.0,40.0,75.0,130.5,116.5,109.5,98.5,43.5,57.0,185.0,143.5,133.5,148.5,126.5,115.0,48.0,274.5,13.5,27.5,24.0,113.5
Haryana,40.33,26.33,32.33,67.67,137.33,103.33,104.0,94.67,42.5,61.5,188.33,137.0,133.67,126.67,166.67,119.67,47.5,267.5,27.5,20.0,27.5,151.0
Himachal Pradesh,36.08,21.0,31.67,71.0,141.17,119.33,112.58,87.08,44.08,53.08,218.75,163.25,143.67,133.3,152.8,121.0,46.0,256.67,27.58,27.17,34.83,135.0
Jammu and Kashmir,36.0,29.0,34.0,88.0,130.0,112.5,116.5,100.0,52.5,46.5,,149.0,144.0,134.0,156.5,146.0,48.0,333.5,26.0,27.5,32.0,105.0
Jharkhand,38.64,30.45,34.82,77.09,133.09,108.27,106.82,83.0,43.9,56.5,179.44,145.91,121.82,136.5,156.56,110.0,47.9,305.5,21.1,20.09,25.36,135.55
Karnataka,53.57,41.86,45.61,85.75,147.64,130.93,119.86,104.36,41.46,49.11,177.54,170.36,121.54,140.19,124.21,99.14,52.36,299.07,18.89,30.46,28.96,76.67
Madhya Pradesh,36.52,27.45,32.79,72.39,139.97,107.24,105.82,89.82,41.69,57.34,188.97,134.44,120.09,114.53,143.94,116.35,46.34,234.97,19.0,20.26,21.9,101.16
Maharashtra,47.21,37.89,42.58,73.32,151.68,119.0,117.53,96.0,42.95,57.16,189.95,161.56,131.05,114.84,128.84,106.13,51.74,291.32,23.53,27.68,25.53,102.21
Meghalaya,39.0,37.2,36.8,77.0,125.75,121.75,110.75,90.0,45.6,72.8,,133.6,135.0,129.6,190.0,130.0,80.0,322.0,26.4,26.6,41.4,86.8
Mizoram,45.0,,42.5,100.0,137.0,,140.0,104.0,50.0,75.0,150.0,175.0,,149.0,,,,520.0,30.0,38.5,50.0,93.5
Nagaland,41.23,39.5,49.85,98.89,130.3,119.0,121.67,96.92,51.15,69.09,,140.77,174.0,151.54,180.0,110.0,74.29,310.42,17.77,27.77,47.31,122.31
Odisha,37.38,37.33,38.88,70.13,142.25,111.13,106.13,76.13,43.75,52.0,,139.25,108.57,109.0,117.88,97.75,49.38,281.38,26.25,20.38,29.75,107.0
Punjab,36.1,24.3,28.9,77.2,145.5,115.5,108.1,94.1,42.5,56.9,195.0,130.2,125.5,120.8,147.56,104.0,52.6,278.2,26.6,19.2,30.1,132.1
Rajasthan,38.2,29.3,31.9,72.2,111.4,103.4,99.3,88.9,40.7,52.0,179.6,157.6,128.9,145.7,159.89,133.33,42.3,292.11,20.0,21.2,22.3,133.3
Sikkim,54.0,32.0,45.0,80.0,120.0,130.0,107.0,95.0,45.0,65.0,,183.0,114.0,167.0,190.0,,50.0,420.0,21.0,35.0,35.0,120.0
Tamil Nadu,55.71,43.68,51.86,76.52,154.9,130.05,117.52,88.58,41.67,44.86,210.0,186.44,127.1,,116.86,94.52,53.86,297.43,24.19,34.14,31.1,60.67
Telangana,47.33,36.67,47.67,71.0,131.0,119.67,109.0,92.0,39.67,57.0,167.33,155.67,106.0,120.0,113.67,98.67,54.67,293.0,19.67,24.33,22.67,106.67
Tripura,39.0,,36.33,75.0,129.5,116.0,111.0,110.33,45.33,70.0,,143.67,124.0,132.0,159.0,108.0,71.67,211.67,11.67,23.0,35.0,89.0
Uttar Pradesh,36.57,25.53,31.56,72.04,132.39,108.54,106.54,90.5,41.93,61.4,191.42,141.48,131.3,136.56,163.76,114.79,47.02,240.19,26.54,19.83,26.52,115.07
Uttarakhand,36.5,24.5,32.5,81.5,133.0,109.0,109.5,96.0,41.0,65.5,162.0,141.5,139.5,142.5,145.5,89.0,51.5,258.0,28.5,18.5,22.5,138.0
West Bengal,42.76,28.75,37.47,73.76,131.76,114.25,115.0,105.59,43.31,54.44,202.4,131.75,113.88,117.56,135.5,102.4,51.56,270.69,21.38,21.25,30.25,132.75
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
