,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  12/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.12,29.69,35.21,75.26,137.38,114.53,110.9,91.43,43.18,57.68,191.12,140.65,128.66,128.38,128.87,103.6,51.29,276.78,22.49,23.78,28.09,121.92
Maximum Price,65.0,51.0,67.0,132.0,180.0,156.0,165.0,145.0,70.0,80.0,270.0,258.0,220.0,200.0,244.0,175.0,143.0,558.0,37.0,60.0,63.0,232.0
Minimum Price,25.0,20.0,27.0,54.0,73.0,65.0,75.0,67.0,36.0,40.0,130.0,110.0,93.0,100.0,105.0,83.0,34.0,149.0,9.0,11.0,10.0,48.0
Modal Price,40.0,27.0,32.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,125.0,120.0,130.0,100.0,50.0,240.0,28.0,20.0,30.0,120.0
Andaman and Nicobar,41.0,,66.0,84.67,149.33,140.67,127.67,99.67,53.0,70.67,236.5,199.33,198.33,,146.67,128.0,75.33,308.33,20.33,46.67,48.33,202.33
Andhra Pradesh,53.0,39.5,41.5,70.0,143.0,117.75,113.25,99.75,41.75,55.75,178.75,205.5,120.25,175.0,119.25,101.5,58.0,332.0,21.75,31.0,27.75,89.0
Arunachal pradesh,36.0,42.0,40.0,90.0,135.0,125.0,120.0,100.0,55.0,72.0,,130.0,120.0,130.0,200.0,,,,15.0,25.0,40.0,110.0
Assam,40.18,30.88,36.55,76.36,133.0,105.95,109.05,90.36,44.95,70.1,199.2,145.73,138.0,137.36,155.53,114.4,57.29,256.15,14.1,22.14,31.36,97.53
Bihar,37.78,25.97,32.47,69.67,131.86,111.17,107.58,78.69,42.94,54.86,190.12,138.39,126.0,131.36,170.72,111.27,47.39,277.44,22.31,19.08,25.11,138.86
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,25.0,140.0
Chhattisgarh,39.29,34.57,37.86,73.57,134.14,102.57,105.86,85.29,42.0,60.0,200.14,144.57,125.29,129.71,144.57,116.86,49.0,295.57,24.57,23.57,26.14,111.14
Delhi,39.0,28.0,31.0,75.0,155.0,130.0,118.0,85.0,41.0,53.0,216.0,139.0,130.0,131.0,144.0,106.0,60.0,243.0,26.0,27.0,30.0,117.0
DNH and DD,44.33,39.0,41.0,77.67,145.67,129.0,120.0,95.67,41.0,64.33,207.67,153.0,140.33,137.67,133.0,100.33,67.67,350.0,27.0,21.33,26.0,116.67
Gujarat,37.25,32.5,37.5,77.5,144.5,123.25,114.75,102.25,42.25,58.75,192.25,153.25,145.5,157.0,140.25,107.5,50.5,277.25,13.75,23.75,23.25,114.25
Haryana,40.0,25.75,32.75,66.75,127.25,101.0,100.25,92.75,42.5,59.0,187.5,144.0,132.75,129.25,165.75,114.75,45.5,236.25,25.75,18.5,24.25,137.0
Himachal Pradesh,35.75,21.0,31.58,71.08,141.25,119.33,112.67,87.08,44.08,53.08,218.75,162.42,144.0,133.7,153.0,121.0,46.0,255.92,27.58,27.17,33.33,141.42
Jammu and Kashmir,38.2,30.4,39.2,83.0,129.6,117.8,115.6,100.0,49.6,50.4,243.0,162.75,149.25,148.25,169.75,135.33,48.25,325.0,25.6,26.25,32.25,112.5
Jharkhand,37.58,30.67,34.47,73.79,135.47,107.32,105.63,79.53,43.61,57.12,186.46,141.0,123.11,133.5,155.71,106.06,47.33,292.59,23.33,19.53,25.0,137.32
Karnataka,54.0,41.58,45.42,85.13,148.26,130.77,119.9,104.13,41.42,49.55,179.0,171.13,122.58,141.33,124.39,98.94,51.87,294.9,19.32,30.81,28.65,91.97
Madhya Pradesh,36.1,27.4,33.0,73.58,138.7,105.25,105.03,89.58,41.8,57.75,189.55,136.05,120.05,116.15,145.05,113.09,47.27,242.82,18.63,20.43,22.43,121.15
Maharashtra,47.05,37.79,42.63,72.74,151.37,118.68,116.89,95.89,42.89,57.16,189.84,161.5,130.95,115.05,128.89,106.25,52.05,291.37,23.58,27.63,24.79,117.26
Meghalaya,37.25,38.0,38.0,77.6,125.83,125.4,112.0,90.63,45.75,72.38,143.0,135.13,142.75,139.0,195.0,147.0,76.0,341.25,23.13,26.75,39.25,84.0
