,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  04/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.08,29.57,34.79,75.28,135.49,114.29,110.89,91.91,43.13,58.06,190.24,140.63,130.06,130.03,130.45,104.1,51.99,278.78,22.21,24.25,27.37,140.38
Maximum Price,65.0,51.0,67.0,135.0,180.0,155.0,163.0,147.0,70.0,80.0,275.0,258.0,220.0,200.0,244.0,175.0,143.0,558.0,37.0,60.0,63.0,257.0
Minimum Price,25.0,21.0,24.0,54.0,73.0,65.0,75.0,68.0,36.0,40.0,128.0,109.0,93.0,100.0,101.0,83.0,34.0,149.0,9.0,11.0,10.0,40.0
Modal Price,40.0,25.0,35.0,70.0,140.0,110.0,110.0,90.0,42.0,56.0,190.0,130.0,125.0,120.0,115.0,100.0,50.0,240.0,27.0,20.0,25.0,120.0
Andaman and Nicobar,41.67,,66.33,84.67,149.33,141.0,128.33,100.0,53.67,71.0,237.5,201.33,198.0,,165.0,129.0,76.33,308.33,20.67,43.33,48.33,178.0
Andhra Pradesh,52.5,39.75,41.75,70.75,142.75,118.75,113.25,102.5,41.75,55.75,178.0,199.5,115.0,175.0,118.0,100.5,57.5,331.25,22.0,33.0,26.25,163.75
Arunachal pradesh,39.5,42.0,39.0,92.5,136.0,121.5,120.0,108.5,48.0,73.0,,157.0,120.0,143.0,,,70.0,325.0,18.0,23.0,38.0,140.0
Assam,40.48,31.11,36.96,75.09,127.91,104.65,108.22,90.57,44.91,70.09,199.4,144.57,137.37,137.7,156.26,115.93,57.52,255.5,13.87,21.78,30.65,92.79
Bihar,37.68,26.03,32.58,69.37,130.55,110.53,106.97,78.03,42.89,54.78,191.06,138.24,125.86,132.3,171.41,111.97,47.46,275.89,22.35,19.08,24.21,134.58
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,25.0,180.0
