,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  10/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.31,29.78,34.96,75.79,136.18,114.75,111.09,92.16,43.18,58.14,190.77,141.01,129.86,129.8,129.42,104.0,51.89,277.01,22.08,24.29,27.91,129.39
Maximum Price,65.0,51.0,67.0,132.0,180.0,156.0,165.0,145.0,70.0,80.0,270.0,258.0,220.0,202.0,244.0,175.0,143.0,558.0,37.0,60.0,63.0,250.0
Minimum Price,25.0,21.0,24.0,54.0,73.0,65.0,75.0,65.0,36.0,40.0,130.0,108.0,93.0,100.0,103.0,83.0,34.0,170.0,9.0,11.0,10.0,40.0
Modal Price,38.0,25.0,35.0,70.0,140.0,110.0,110.0,100.0,42.0,60.0,200.0,130.0,120.0,120.0,122.0,100.0,50.0,240.0,27.0,20.0,27.5,120.0
Andaman and Nicobar,41.0,,66.0,84.67,149.33,140.67,127.67,99.67,53.0,70.67,236.5,199.33,198.33,,146.67,128.0,75.33,308.33,20.33,46.67,48.33,200.0
Andhra Pradesh,53.0,41.0,44.4,71.6,147.6,120.6,115.4,101.8,42.2,58.2,177.8,195.4,116.8,175.0,118.2,99.0,57.8,325.0,21.4,31.6,27.0,103.6
Arunachal pradesh,37.67,42.0,39.33,91.0,137.67,121.0,120.0,102.33,51.5,73.0,,143.5,120.0,136.5,200.0,,70.0,325.0,16.5,23.0,38.0,140.0
Assam,41.27,31.36,36.81,76.19,130.68,106.74,109.46,90.27,45.0,69.12,194.2,146.69,137.76,140.04,154.52,116.39,57.19,256.12,13.54,22.81,31.38,95.1
Bihar,37.39,26.06,32.64,69.06,130.5,110.22,106.72,78.28,42.97,55.31,190.47,139.0,126.83,131.64,171.63,111.79,47.19,270.14,22.64,19.33,25.14,141.28
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,25.0,152.0
Chhattisgarh,37.44,33.44,36.22,74.44,132.67,102.33,104.89,88.44,41.11,58.22,192.56,147.22,127.11,129.44,147.88,118.22,48.33,284.22,23.22,23.22,25.11,131.67
Delhi,39.0,28.0,31.0,75.0,152.0,128.0,114.0,87.0,41.0,53.0,216.0,139.0,130.0,131.0,144.0,106.0,60.0,243.0,26.0,27.0,30.0,140.0
DNH and DD,44.67,38.67,41.33,77.33,146.33,129.0,119.67,94.67,41.0,64.67,207.33,154.33,140.33,137.67,132.33,100.33,67.67,350.0,27.0,22.33,25.67,148.33
Goa,45.5,43.0,41.5,77.5,157.5,126.0,123.5,96.5,42.0,57.5,216.0,161.0,141.0,152.0,120.0,100.0,55.0,315.5,24.5,33.5,32.0,113.0
Gujarat,36.17,33.14,37.43,78.57,137.86,120.57,108.14,95.86,41.67,57.33,195.29,155.71,142.57,152.57,141.43,106.86,50.33,276.5,14.33,23.0,22.67,128.67
Haryana,40.0,25.75,32.75,66.75,127.25,101.0,100.25,92.75,42.25,58.75,187.25,143.75,132.5,129.0,165.5,114.5,45.25,235.0,25.75,18.0,24.0,145.25
Himachal Pradesh,35.75,21.0,31.58,71.08,141.25,119.33,112.67,87.08,44.08,53.08,218.75,162.25,143.75,133.5,152.8,121.0,46.0,256.08,27.58,26.58,32.92,159.25
Jammu and Kashmir,37.67,31.0,41.0,85.0,126.67,118.33,116.0,100.0,51.67,47.67,243.0,157.0,148.0,142.0,169.67,125.0,49.0,319.67,26.67,27.67,33.67,107.33
Jharkhand,37.37,30.44,34.53,73.16,135.0,106.89,105.74,79.26,43.56,57.5,187.92,141.68,124.05,134.06,155.29,106.94,47.5,287.59,23.65,19.63,24.05,137.11
Karnataka,54.03,41.71,45.19,85.81,148.0,131.13,120.58,104.74,41.58,49.48,180.71,172.03,122.39,141.7,124.84,100.06,51.52,298.32,19.77,30.71,28.52,102.0
