,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  25/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.62,29.96,35.23,77.89,140.06,115.56,111.65,92.37,43.33,58.1,192.35,141.24,129.77,128.79,128.12,103.11,52.45,279.75,22.29,24.59,32.57,68.72
Maximum Price,65.0,51.0,67.0,132.0,180.0,157.0,156.0,142.0,70.0,85.0,275.0,258.0,220.0,213.0,244.0,175.0,143.0,558.0,37.0,60.0,67.0,200.0
Minimum Price,23.0,21.0,25.0,54.0,73.0,65.0,75.0,66.0,36.0,40.0,130.0,108.0,93.0,100.0,100.0,83.0,34.0,172.0,9.0,11.0,11.0,20.0
Modal Price,35.0,28.0,30.0,80.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,130.0,120.0,130.0,100.0,50.0,240.0,28.0,20.0,32.5,60.0
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.67,53.0,70.67,236.5,195.67,198.33,,140.67,128.0,76.0,308.33,20.33,46.67,56.67,126.67
Andhra Pradesh,53.4,40.8,44.2,73.6,150.4,120.2,115.4,99.8,43.2,58.2,177.8,196.4,117.2,175.0,119.2,98.6,58.2,325.0,21.2,31.4,29.0,48.6
Arunachal pradesh,34.5,42.0,38.25,88.25,133.75,120.75,117.0,102.5,51.0,71.33,,159.0,153.33,145.0,212.5,,70.0,316.5,21.0,25.0,39.67,105.67
Assam,41.38,31.6,36.69,76.31,133.12,107.17,109.73,90.12,44.88,69.65,199.5,146.73,137.84,138.35,154.38,113.47,56.27,257.36,13.38,21.92,35.46,85.48
Bihar,38.18,26.32,33.15,72.79,135.18,112.09,108.15,79.38,42.97,55.18,191.07,138.03,126.26,130.35,170.69,110.81,48.97,280.03,22.74,19.62,30.24,83.74
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,35.0,60.0
