,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  17/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.52,29.89,35.09,76.34,137.4,115.23,111.25,92.06,43.18,58.13,191.3,141.07,129.69,129.85,128.48,103.19,52.05,278.29,22.19,24.46,30.29,100.61
Maximum Price,65.0,59.0,67.0,132.0,180.0,156.0,165.0,145.0,70.0,80.0,270.0,258.0,220.0,205.0,245.0,170.0,143.0,558.0,38.0,60.0,65.0,220.0
Minimum Price,23.0,21.0,24.0,54.0,73.0,65.0,75.0,67.0,36.0,40.0,130.0,108.0,93.0,100.0,104.0,83.0,34.0,149.0,9.0,11.0,10.0,33.0
Modal Price,40.0,28.0,32.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,140.0,120.0,120.0,124.0,100.0,50.0,240.0,27.0,20.0,30.0,100.0
Andaman and Nicobar,41.0,,66.0,84.67,149.33,141.0,127.67,99.67,52.67,70.67,236.5,198.0,198.33,,146.67,128.0,75.33,308.33,20.33,46.67,49.33,180.0
Andhra Pradesh,53.4,40.8,44.2,71.0,147.6,119.8,115.4,99.6,42.2,58.2,177.8,196.0,116.6,175.0,119.4,99.0,58.2,325.0,21.2,31.6,29.2,66.4
Arunachal pradesh,34.0,42.0,38.25,88.25,133.25,120.75,117.5,101.75,51.0,71.33,,159.0,153.33,145.33,212.5,,70.0,316.5,21.0,26.0,37.67,105.67
Assam,41.35,30.7,36.77,76.69,131.83,106.87,109.69,91.0,44.96,69.77,199.2,147.31,138.9,139.58,155.64,116.88,57.08,259.2,13.46,22.04,33.65,92.0
Bihar,37.86,26.11,32.76,70.57,132.95,111.16,107.92,77.95,42.84,55.08,191.0,138.89,125.7,131.05,171.21,110.8,47.84,275.81,22.65,19.16,26.49,121.84
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,30.0,80.0
Chhattisgarh,37.67,33.22,36.22,74.56,131.56,102.44,105.56,88.44,41.0,58.22,190.67,148.44,126.67,131.22,145.22,118.0,48.78,283.89,23.33,23.67,27.11,89.56
Delhi,39.0,28.0,31.0,77.0,157.0,130.0,117.0,87.0,41.0,53.0,216.0,139.0,130.0,131.0,144.0,106.0,60.0,243.0,26.0,27.0,32.0,100.0
DNH and DD,44.67,38.67,41.67,77.33,143.33,127.33,121.67,94.33,41.0,64.0,209.33,154.67,140.0,134.33,133.33,100.33,67.67,350.0,27.0,21.33,29.67,75.0
Goa,47.0,43.0,41.5,77.5,158.5,126.0,123.5,96.5,42.0,57.5,216.0,161.0,141.0,152.0,120.0,100.0,55.0,315.5,24.5,33.5,36.5,77.0
Gujarat,37.29,32.57,37.0,78.14,136.14,119.57,109.0,95.57,41.57,57.57,195.57,153.43,140.71,150.57,140.14,105.86,50.29,281.29,14.86,23.0,22.0,108.86
Haryana,40.25,25.75,32.75,66.75,125.0,100.75,99.25,92.75,42.25,58.75,185.75,143.75,132.5,128.0,165.5,113.5,45.25,235.0,25.75,18.0,24.0,129.25
Himachal Pradesh,36.42,21.0,31.83,71.67,141.0,119.42,112.08,86.83,44.08,53.08,218.75,163.5,143.08,133.2,152.8,121.0,45.83,256.67,27.58,28.08,36.83,130.25
Jammu and Kashmir,39.0,30.0,40.25,83.0,124.5,118.5,114.5,100.0,50.75,51.75,243.0,163.25,149.25,148.25,169.75,135.33,48.25,316.25,25.0,26.75,34.5,105.0
Jharkhand,37.74,30.67,34.58,73.89,135.95,107.21,105.79,79.68,43.72,57.18,186.15,141.26,122.84,133.33,155.12,105.72,47.39,292.41,23.33,19.68,26.58,122.95
Karnataka,54.03,41.28,45.0,84.21,148.31,130.1,119.97,103.31,41.28,49.14,179.17,170.24,122.97,140.68,122.97,98.31,52.48,294.97,19.45,30.97,30.41,69.31
Kerala,49.92,43.77,47.08,94.23,159.0,140.77,132.45,109.23,42.69,53.46,225.29,195.75,156.46,,122.15,101.33,62.92,236.46,14.08,35.85,33.46,65.23
Madhya Pradesh,36.22,27.69,32.83,73.76,139.02,106.05,105.9,90.21,41.83,57.63,190.79,137.21,121.48,115.76,145.9,114.1,47.48,247.19,19.15,20.71,23.98,91.43
Maharashtra,47.26,37.68,42.53,74.37,152.58,119.68,117.21,96.26,43.05,57.0,190.05,161.28,131.21,114.89,128.58,106.25,51.79,291.37,23.42,27.53,25.47,94.21
Meghalaya,38.2,38.0,38.0,78.0,128.38,127.33,112.78,89.8,46.1,72.6,143.0,135.5,143.25,136.4,181.67,129.5,78.67,359.3,22.78,26.1,42.0,91.9
Mizoram,46.0,41.6,44.56,100.5,127.8,122.0,122.8,104.22,50.0,76.7,178.33,196.22,166.0,146.5,183.33,134.0,101.6,494.5,29.1,37.8,48.9,77.22
Nagaland,40.75,40.14,47.88,98.33,130.25,120.88,123.33,96.75,50.69,70.64,200.0,142.33,179.17,155.81,186.0,137.5,75.56,309.0,17.56,28.5,48.13,118.75
Odisha,36.6,37.56,39.96,72.12,142.68,111.76,106.72,78.12,43.42,51.74,166.8,139.04,116.35,137.22,118.56,96.64,50.04,275.53,26.13,20.56,30.12,92.4
Punjab,36.25,24.5,29.33,77.17,145.08,115.25,107.58,92.83,42.27,57.36,197.6,128.18,125.55,118.18,145.2,106.13,52.73,279.55,26.64,19.73,32.55,113.91
Rajasthan,39.93,29.7,32.37,70.74,114.15,106.26,101.15,90.33,41.52,52.27,183.0,154.59,129.62,143.33,163.39,139.4,43.04,301.62,20.08,22.26,24.26,136.2
