,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  21/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.65,29.95,35.25,77.34,138.85,115.39,111.57,92.26,43.29,58.17,192.3,141.0,129.68,129.27,128.48,103.14,52.08,278.26,22.24,24.52,31.4,82.12
Maximum Price,65.0,59.0,67.0,132.0,180.0,158.0,165.0,143.0,70.0,85.0,270.0,258.0,220.0,205.0,244.0,170.0,143.0,558.0,32.0,60.0,67.0,200.0
Minimum Price,23.0,21.0,25.0,54.0,73.0,65.0,75.0,67.0,36.0,40.0,130.0,110.0,93.0,100.0,107.0,83.0,34.0,149.0,9.0,11.0,10.0,31.0
Modal Price,37.5,26.0,32.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,140.0,125.0,120.0,130.0,100.0,50.0,240.0,28.0,20.0,30.0,60.0
Andaman and Nicobar,41.0,,66.0,84.67,149.67,141.33,128.0,99.67,53.0,70.67,236.5,198.67,198.33,,147.33,128.0,76.0,308.33,20.33,46.67,54.33,146.67
Andhra Pradesh,53.4,40.8,44.2,71.4,149.2,119.8,115.4,99.6,42.2,58.2,177.8,196.0,116.6,175.0,119.2,99.0,58.2,325.0,21.2,30.8,29.6,59.2
Arunachal pradesh,34.5,42.0,38.25,88.25,133.25,120.75,117.5,102.5,51.0,71.33,,159.0,153.33,143.33,212.5,,70.0,316.5,21.0,25.0,39.67,107.33
Assam,42.04,30.7,37.0,76.71,131.57,105.14,109.67,91.29,44.92,69.63,199.2,147.83,139.37,140.5,155.7,118.4,56.5,260.83,13.5,22.25,34.79,89.24
Bihar,38.14,26.03,32.73,71.27,133.62,111.14,107.81,79.0,42.89,55.22,190.12,139.22,126.22,131.32,169.93,111.57,47.92,275.24,22.92,19.46,28.57,100.51
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,30.0,70.0
Chhattisgarh,37.75,33.75,36.25,76.63,132.88,104.13,106.13,88.0,41.38,57.63,195.25,149.5,130.0,133.14,150.71,121.75,47.75,292.25,22.75,23.63,28.13,63.0
Delhi,39.0,28.0,31.0,80.0,160.0,128.0,115.0,88.0,41.0,53.0,218.0,143.0,130.0,131.0,144.0,106.0,60.0,243.0,26.0,27.0,37.0,68.0
DNH and DD,45.0,39.0,42.33,77.67,142.0,126.67,121.67,94.33,41.0,64.0,208.67,154.67,140.67,132.33,132.67,100.33,67.33,350.0,27.0,21.33,31.33,59.67
Goa,47.0,43.0,42.5,81.0,158.5,126.0,123.5,97.5,42.0,57.5,216.0,161.0,141.5,152.5,121.5,100.0,56.5,315.5,24.5,33.5,37.0,61.0
Gujarat,37.29,32.43,37.0,78.43,136.14,119.43,108.71,95.14,41.57,57.57,194.71,153.86,140.71,151.14,139.71,105.71,50.29,281.29,14.86,22.86,23.0,93.14
Haryana,40.25,25.75,32.75,66.75,125.0,100.75,99.25,92.75,42.67,59.33,185.75,143.75,132.5,128.0,165.5,113.5,45.33,227.0,26.0,17.5,23.5,94.75
Himachal Pradesh,36.75,21.0,31.83,72.75,141.0,119.33,112.42,87.08,44.09,53.82,218.75,163.92,143.0,133.4,152.8,121.0,45.82,256.91,27.55,29.42,37.42,101.08
Jammu and Kashmir,39.0,30.25,40.75,85.0,124.5,118.5,114.5,100.0,50.75,51.75,243.0,163.25,149.25,148.25,169.75,135.33,48.25,316.25,25.0,26.75,34.5,90.0
Jharkhand,37.17,30.65,34.39,73.94,138.78,106.56,105.06,79.28,43.65,57.5,188.42,139.39,122.44,131.35,156.88,105.53,47.47,285.25,23.06,19.0,27.56,105.59
Karnataka,53.57,42.1,45.0,87.33,148.17,130.53,119.77,103.67,41.73,49.43,179.8,170.57,122.93,141.21,124.47,99.1,51.6,292.47,18.67,30.13,30.7,57.93
Kerala,50.75,43.42,47.25,93.92,157.17,138.92,131.25,108.17,42.33,53.92,230.2,194.89,156.08,,122.0,99.64,63.0,233.25,13.92,34.5,33.83,50.75
Madhya Pradesh,36.17,27.39,33.02,74.66,141.44,105.59,105.98,89.98,42.0,57.51,190.97,136.75,120.03,114.33,143.13,112.9,47.05,239.41,19.64,20.43,24.1,70.7
Maharashtra,46.95,37.89,42.79,75.32,153.63,119.74,117.47,96.63,43.0,57.0,190.63,161.67,130.89,115.0,128.32,106.0,51.79,291.32,23.53,27.95,27.32,79.11
Meghalaya,38.3,38.0,38.0,78.0,128.38,127.33,113.56,89.8,46.3,72.6,143.0,135.5,143.25,136.4,181.67,129.5,79.5,359.3,22.0,26.1,43.0,86.5
Mizoram,46.73,41.83,44.9,99.89,127.8,122.0,122.33,104.3,50.0,77.0,178.33,195.6,179.5,146.27,183.33,134.0,101.33,500.4,28.82,38.82,50.45,75.67
Nagaland,40.81,40.14,47.88,97.92,129.42,120.88,123.33,96.75,50.69,71.0,200.0,142.0,178.33,155.5,187.0,137.5,75.56,309.0,17.56,28.5,48.13,118.13
Odisha,36.74,37.58,40.0,73.74,145.15,112.22,106.5,79.15,43.41,52.0,171.17,139.11,116.04,135.7,118.78,96.89,49.89,279.85,26.19,20.37,30.81,64.22
Puducherry,43.0,39.0,34.0,74.0,168.0,123.0,113.0,89.0,40.0,45.0,205.0,166.0,149.0,,113.0,94.0,49.0,387.0,23.0,29.0,29.0,40.0
Punjab,36.45,24.09,29.18,79.0,147.09,115.73,108.73,92.36,42.73,56.82,190.5,127.55,123.82,118.64,144.4,104.75,51.73,277.09,26.55,18.91,33.09,92.45
Rajasthan,40.0,30.04,32.74,71.87,116.43,107.17,103.17,91.91,41.74,52.68,186.09,155.3,130.55,143.48,164.6,139.4,43.35,299.13,20.17,22.57,24.65,112.15
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,446.0,19.0,34.2,40.0,106.6
Tamil Nadu,55.33,43.79,52.13,79.6,159.47,131.33,117.47,91.15,41.77,45.83,211.9,184.26,124.27,,116.4,93.67,53.63,287.3,23.33,34.97,35.07,44.77
Telangana,48.7,38.7,42.9,70.7,131.8,114.8,106.3,90.0,39.7,62.11,168.4,172.0,118.3,153.17,119.4,98.9,54.4,295.9,18.6,29.0,28.0,64.8
Tripura,39.0,,35.33,76.0,127.67,116.67,107.33,105.67,46.0,72.33,,131.33,126.67,127.33,166.0,109.67,61.67,196.67,11.33,24.0,42.67,90.33
Uttar Pradesh,36.63,25.69,31.81,73.39,134.32,110.27,107.16,91.87,42.03,62.3,192.97,142.53,130.83,135.8,164.09,114.24,47.3,243.2,26.78,20.11,28.39,82.33
Uttarakhand,35.25,26.25,32.5,84.25,125.0,106.25,110.5,101.5,41.25,63.0,163.5,139.75,143.0,142.5,154.75,114.0,51.0,263.25,28.25,23.25,28.25,104.5
West Bengal,43.78,29.8,37.96,76.48,134.43,113.82,117.65,105.22,43.59,54.59,203.36,133.05,114.18,117.77,135.18,102.5,51.86,275.86,22.09,21.27,32.95,100.27
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
