,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  14/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.58,29.93,35.07,76.17,136.88,114.98,111.41,92.28,43.23,58.09,190.82,141.2,129.67,129.17,128.86,103.57,52.09,277.75,22.22,24.42,29.01,111.74
Maximum Price,65.0,59.0,67.0,132.0,170.0,156.0,165.0,145.0,70.0,80.0,270.0,258.0,220.0,205.0,244.0,175.0,143.0,558.0,37.0,60.0,65.0,220.0
Minimum Price,25.0,21.0,24.0,55.0,73.0,65.0,75.0,69.0,36.0,40.0,130.0,110.0,93.0,100.0,106.0,83.0,34.0,148.0,9.0,11.0,10.0,40.0
Modal Price,40.0,28.0,35.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,120.0,120.0,130.0,100.0,50.0,240.0,27.5,20.0,30.0,100.0
Andaman and Nicobar,41.0,,66.0,84.67,149.33,141.0,127.67,99.67,52.67,70.67,236.5,199.33,198.33,,146.67,128.0,75.33,308.33,20.33,46.67,48.33,204.33
Andhra Pradesh,53.4,40.8,44.2,71.0,147.6,119.8,115.4,99.6,42.2,58.2,177.8,196.0,116.6,175.0,118.6,99.0,58.2,325.0,21.2,31.6,28.0,75.5
Arunachal pradesh,37.67,42.0,39.33,90.0,138.33,120.0,120.0,101.67,51.5,73.0,,143.5,120.0,136.5,200.0,,70.0,333.0,16.5,24.0,39.0,125.0
Assam,41.15,31.2,36.69,76.12,131.56,107.65,109.69,90.62,45.04,69.27,199.5,146.92,139.45,139.85,154.38,115.35,56.65,257.24,13.35,22.42,31.58,96.95
Bihar,37.43,26.06,32.37,69.4,131.54,110.63,107.26,78.09,43.0,55.0,189.73,139.54,125.34,131.29,169.22,111.25,47.89,276.23,22.43,19.2,25.66,132.97
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,30.0,90.0
