,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  03/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.05,29.65,34.84,75.31,135.58,114.27,110.9,91.91,43.09,57.9,190.45,140.56,129.62,130.07,130.23,104.14,51.69,277.39,22.05,24.2,27.43,140.1
Maximum Price,65.0,53.0,67.0,133.0,171.0,155.0,163.0,147.0,60.0,80.0,270.0,258.0,220.0,200.0,244.0,175.0,143.0,558.0,36.0,60.0,63.0,257.0
Minimum Price,25.0,21.0,24.0,55.0,73.0,65.0,75.0,68.0,36.0,40.0,128.0,108.0,93.0,100.0,101.0,82.0,34.0,152.0,9.0,11.0,10.0,40.0
Modal Price,40.0,26.0,35.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,188.33,130.0,120.0,120.0,122.5,100.0,50.0,240.0,28.0,20.0,25.0,120.0
Andaman and Nicobar,41.0,,66.0,84.33,148.67,140.67,127.67,99.67,53.0,70.67,236.5,199.33,198.33,,164.33,129.0,75.33,308.33,20.33,43.33,48.33,176.67
Andhra Pradesh,52.5,39.75,41.75,70.75,142.75,118.75,113.25,102.5,41.75,55.75,178.0,199.5,115.0,175.0,118.0,100.5,57.5,331.25,22.0,31.25,25.75,168.0
Arunachal pradesh,37.67,42.0,39.33,91.0,134.0,120.0,120.0,102.67,51.5,73.0,,143.5,120.0,136.0,200.0,,70.0,333.0,16.5,24.0,39.0,125.0
Assam,40.77,31.1,36.58,74.88,128.92,106.39,109.15,89.92,44.81,69.12,199.5,145.38,137.85,139.81,153.95,115.41,56.73,256.96,13.38,22.31,30.46,97.0
Bihar,37.47,26.0,32.61,69.08,130.28,110.56,106.56,77.97,42.83,55.17,185.87,138.2,126.2,132.63,173.0,112.93,47.49,274.4,22.17,19.08,24.31,133.03
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,25.0,165.0
Chhattisgarh,37.11,32.89,35.78,74.56,131.33,102.33,105.44,88.11,41.0,58.11,191.0,150.33,126.78,130.78,147.33,118.33,48.11,284.78,23.11,22.78,24.56,148.33
Delhi,39.0,28.0,31.0,72.0,148.0,127.0,117.0,87.0,41.0,53.0,216.0,139.0,130.0,126.0,143.0,106.0,58.0,242.0,26.0,27.0,30.0,213.0
