,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  23/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.77,29.89,35.18,77.57,139.3,115.47,111.76,92.38,43.28,58.08,192.33,141.68,129.89,129.14,128.48,103.09,52.31,278.68,22.25,24.64,32.02,74.6
Maximum Price,66.0,59.0,67.0,132.0,192.0,157.0,167.0,144.0,70.0,85.0,270.0,258.0,220.0,211.0,244.0,170.0,143.0,558.0,38.0,62.0,67.0,200.0
Minimum Price,23.0,21.0,25.0,54.0,73.0,65.0,75.0,67.0,36.0,40.0,130.0,108.0,93.0,100.0,104.0,83.0,34.0,149.0,9.0,11.0,10.0,26.0
Modal Price,35.0,26.0,32.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,135.0,130.0,120.0,130.0,100.0,50.0,240.0,27.0,20.0,30.0,60.0
Andaman and Nicobar,42.5,,66.5,85.5,146.5,143.0,130.0,103.0,53.5,70.5,270.0,206.0,203.5,,157.0,135.0,79.0,305.0,21.5,45.0,55.0,131.5
Andhra Pradesh,53.4,40.8,44.2,71.4,148.4,119.8,115.4,99.6,42.6,58.2,177.8,196.0,116.6,175.0,119.2,99.0,58.2,325.0,21.2,31.6,29.6,53.6
Arunachal pradesh,31.67,42.0,38.33,86.67,130.0,123.33,116.67,100.0,52.5,70.0,,160.0,170.0,147.5,212.5,,70.0,300.0,22.5,26.0,38.5,90.0
Assam,41.65,31.36,36.73,76.58,132.64,106.91,109.85,90.62,44.88,69.23,199.5,147.27,139.47,140.19,157.14,117.29,57.0,258.72,13.38,22.15,35.35,82.7
Bihar,38.0,26.05,32.78,72.03,134.24,111.08,107.86,79.32,42.84,55.05,190.53,139.68,126.73,131.14,169.72,111.07,48.3,277.76,22.68,19.58,29.83,92.47
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,35.0,60.0
Chhattisgarh,38.25,33.0,36.13,77.63,134.0,102.13,105.38,89.88,41.38,59.25,191.5,151.5,128.63,132.0,147.13,119.25,48.5,289.38,24.75,24.0,28.13,53.5
Delhi,39.0,28.0,31.0,80.0,162.0,128.0,115.0,88.0,41.0,53.0,218.0,143.0,130.0,131.0,144.0,104.0,60.0,243.0,26.0,27.0,37.0,62.0
DNH and DD,44.67,39.33,43.0,79.0,144.33,128.0,123.33,96.33,41.0,64.0,208.67,154.67,141.0,132.33,133.33,101.67,67.33,350.0,27.0,21.33,30.67,50.67
Goa,47.0,43.0,42.0,81.0,158.5,126.0,123.5,97.5,42.0,57.5,216.0,161.0,141.5,152.5,121.5,100.0,56.5,315.5,24.5,33.5,37.0,46.0
Gujarat,38.14,32.71,37.29,78.0,137.29,119.86,109.14,95.71,41.57,58.0,195.0,154.29,142.57,151.29,139.43,106.14,51.0,283.86,14.33,23.86,23.71,90.29
Haryana,40.25,25.75,32.75,66.75,125.0,100.75,99.25,92.75,42.0,58.75,185.75,143.75,132.5,128.0,165.5,113.5,45.25,234.5,25.75,17.0,22.75,86.0
Himachal Pradesh,36.83,21.0,31.83,73.58,140.92,119.92,112.5,87.0,44.08,53.08,219.5,164.08,143.17,133.9,152.4,121.5,46.0,257.75,27.58,29.67,37.33,79.08
Jammu and Kashmir,39.5,30.75,41.25,85.25,125.0,118.75,115.0,100.5,51.75,51.75,243.0,164.67,147.0,147.0,169.0,136.0,49.25,317.75,26.5,27.5,36.0,89.25
Jharkhand,37.68,30.89,34.79,75.0,140.37,106.89,106.16,80.42,43.72,57.12,186.23,141.42,123.21,132.78,156.35,105.61,47.56,292.53,23.33,19.47,28.47,87.89
Karnataka,54.61,41.48,44.84,85.71,149.1,130.55,120.42,103.87,41.67,49.6,179.94,170.77,123.55,140.83,123.81,98.52,51.77,290.07,19.1,30.65,32.16,50.81
Kerala,50.71,43.86,45.77,94.36,160.93,141.21,132.69,108.86,42.93,53.93,227.29,193.8,156.5,,122.71,101.92,65.29,233.85,14.14,37.64,34.79,49.57
