,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  31/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.98,29.96,35.36,78.2,141.04,115.83,111.89,92.49,43.51,58.18,191.05,140.75,128.86,128.22,127.61,102.79,52.85,281.82,22.11,24.63,33.39,57.16
Maximum Price,65.0,59.0,67.0,132.0,177.0,160.0,170.0,143.0,70.0,85.0,270.0,235.0,220.0,205.0,227.0,175.0,150.0,558.0,33.0,60.0,67.0,150.0
Minimum Price,23.0,21.0,25.0,55.0,87.0,72.0,84.0,69.0,36.0,40.0,115.0,110.0,93.0,100.0,105.0,83.0,34.0,154.0,9.0,12.0,11.0,17.0
Modal Price,40.0,28.0,40.0,80.0,120.0,110.0,110.0,100.0,42.0,60.0,200.0,130.0,120.0,120.0,130.0,100.0,50.0,240.0,27.0,20.0,30.0,40.0
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,195.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,106.67
Andhra Pradesh,56.75,41.0,43.75,75.75,155.25,122.75,116.75,99.0,43.5,57.75,176.75,181.0,116.5,150.0,114.25,93.25,59.25,356.75,21.5,29.25,30.25,31.0
Arunachal pradesh,31.67,42.0,38.33,86.67,130.0,125.0,120.0,103.0,52.5,70.0,,160.0,170.0,146.5,212.5,,70.0,300.0,22.5,28.5,41.0,70.0
Assam,41.81,31.6,36.41,77.15,133.96,107.43,109.78,90.52,45.0,69.81,199.5,147.04,137.5,139.15,155.27,113.71,56.92,258.56,13.35,21.96,35.54,85.48
Bihar,37.97,26.19,32.16,73.5,137.47,112.22,109.13,79.22,43.32,55.48,191.94,137.23,122.48,129.55,165.77,110.7,48.13,281.48,22.77,19.06,31.06,66.84
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,35.0,45.0
Chhattisgarh,35.29,32.0,34.86,73.71,135.14,103.43,106.43,86.14,41.57,58.57,190.71,149.43,127.29,132.86,150.57,123.57,46.86,289.14,21.71,23.71,30.29,48.57
Delhi,39.0,28.0,31.0,80.0,162.0,128.0,115.0,89.0,41.0,53.0,218.0,144.0,131.0,130.0,144.0,104.0,60.0,245.0,26.0,27.0,37.0,43.0
DNH and DD,45.67,39.0,44.67,81.0,152.0,130.0,120.67,96.0,41.33,64.0,210.67,155.0,140.67,131.67,132.67,101.67,68.0,350.0,27.0,21.67,33.33,41.33
Goa,47.0,43.0,42.0,83.5,162.0,125.0,122.5,97.5,43.0,57.5,216.0,161.0,145.0,152.5,122.5,100.0,56.5,315.5,24.5,35.0,37.5,36.0
Gujarat,39.4,33.0,38.4,74.6,132.8,113.0,105.2,91.6,42.2,58.6,191.4,139.4,134.0,136.8,126.2,110.0,51.6,284.8,14.25,26.4,26.6,71.4
Haryana,40.5,26.0,33.0,68.0,130.75,102.0,99.25,94.0,42.25,59.25,188.75,143.5,133.0,128.0,158.75,114.25,45.5,237.0,25.75,17.25,24.25,69.75
Himachal Pradesh,37.08,21.0,32.17,76.42,142.5,120.75,112.5,86.83,44.5,53.08,219.5,166.5,140.08,133.7,152.4,121.5,46.08,257.92,27.58,30.67,38.92,56.58
Jammu and Kashmir,39.25,30.25,40.75,85.0,125.25,118.5,115.0,101.25,50.75,51.75,243.0,161.25,146.75,146.25,169.0,135.33,48.25,316.25,25.0,27.25,40.25,63.25
Jharkhand,38.47,31.0,35.13,75.4,141.4,106.87,106.6,81.73,43.93,56.62,180.91,140.14,122.93,132.57,159.31,107.64,47.64,294.62,22.57,19.67,28.87,63.33
Karnataka,54.9,41.6,45.53,87.9,150.63,131.87,121.23,105.6,41.63,49.43,180.7,170.47,123.17,141.45,124.67,99.13,51.63,294.57,19.73,30.87,34.4,35.3
Madhya Pradesh,36.84,27.7,33.54,75.97,144.59,107.27,107.57,90.73,42.03,57.14,189.7,137.62,121.51,114.7,143.11,113.95,47.51,244.65,18.24,20.81,25.84,46.03
Maharashtra,47.47,38.11,42.53,77.21,157.32,120.53,118.05,97.68,43.16,57.63,190.58,160.94,131.42,113.53,127.79,105.56,52.21,291.47,23.58,27.47,31.21,48.0
Meghalaya,38.6,38.2,38.0,78.83,131.0,127.83,114.67,90.8,46.0,72.5,130.0,134.3,138.75,137.2,175.0,136.0,80.0,358.8,22.2,25.9,48.0,70.7
Mizoram,47.09,43.0,45.2,99.22,132.43,122.86,123.75,104.82,50.0,76.82,179.67,192.3,172.4,143.64,183.33,137.2,116.63,493.89,28.91,40.09,52.73,79.22
Nagaland,40.56,40.13,47.88,96.67,130.25,122.13,122.0,97.06,50.69,70.64,200.0,141.88,181.67,150.81,186.0,137.5,76.11,309.67,17.56,28.5,49.06,92.56
Odisha,37.26,37.0,40.36,75.3,147.09,111.39,108.48,79.65,43.7,51.73,167.83,141.0,119.0,141.0,120.04,97.7,49.96,273.21,26.22,20.39,31.61,47.39
Puducherry,46.0,39.0,33.0,73.0,168.0,125.0,110.0,87.0,40.0,45.0,205.0,166.0,149.0,,113.0,94.0,49.0,387.0,23.0,29.0,29.0,37.0
Punjab,36.83,24.25,29.0,79.5,146.75,113.75,109.08,92.75,42.82,59.0,193.27,126.17,121.42,118.83,140.4,104.56,50.18,268.64,26.55,19.9,33.5,51.3
Rajasthan,39.56,29.88,32.72,72.36,114.24,105.16,100.24,90.44,41.32,51.71,184.76,156.4,132.3,143.21,161.05,147.0,43.12,299.28,20.2,22.48,25.12,76.58
Sikkim,51.0,34.75,42.0,80.0,130.0,132.5,123.75,106.25,48.75,63.75,,182.0,137.25,158.33,198.5,,56.25,420.75,19.5,35.75,42.5,87.0
Tamil Nadu,55.3,44.14,53.0,82.53,165.77,132.97,117.97,92.08,42.0,45.93,213.33,182.93,124.9,,116.33,93.77,54.03,275.74,23.33,34.67,36.0,29.83
Telangana,49.3,39.1,43.0,71.3,134.0,115.7,107.3,90.4,39.63,63.13,168.44,171.33,117.67,145.2,117.11,98.22,54.63,294.0,18.0,27.5,29.25,41.38
Tripura,39.0,,38.0,82.0,140.67,126.0,112.25,101.25,47.25,70.75,,134.5,127.67,119.25,153.75,103.5,66.5,219.5,11.0,23.25,38.75,83.75
Uttar Pradesh,36.59,25.62,31.79,74.64,137.36,111.41,107.62,91.85,42.13,61.97,193.32,141.51,129.85,134.59,163.45,112.57,48.07,239.17,26.55,20.05,29.98,53.37
Uttarakhand,34.0,23.0,28.0,77.0,152.0,112.0,113.0,108.0,40.0,63.0,171.0,138.0,137.0,138.0,141.0,89.0,51.0,217.0,28.0,17.0,23.0,42.0
