,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  09/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.53,29.82,35.18,76.03,137.49,115.3,111.78,92.39,43.27,58.4,191.65,141.0,129.82,128.39,128.63,103.8,52.24,276.7,22.23,24.56,28.08,131.69
Maximum Price,65.0,53.0,67.0,135.0,182.0,157.0,163.0,145.0,70.0,80.0,270.0,258.0,220.0,202.0,244.0,175.0,143.0,558.0,37.0,60.0,63.0,267.0
Minimum Price,25.0,21.0,27.0,54.0,73.0,65.0,75.0,65.0,36.0,40.0,130.0,110.0,93.0,100.0,103.0,83.0,34.0,149.0,9.0,11.0,10.0,40.0
Modal Price,35.0,25.0,35.0,70.0,140.0,110.0,110.0,100.0,42.0,60.0,200.0,130.0,120.0,135.0,130.0,100.0,50.0,240.0,28.0,20.0,30.0,120.0
Andaman and Nicobar,41.0,,66.0,84.67,149.33,140.67,127.67,99.67,53.0,70.67,237.5,201.33,198.0,,147.33,128.0,75.33,308.33,20.33,46.67,48.33,195.67
Andhra Pradesh,53.0,41.0,44.4,71.6,147.6,120.6,115.4,101.8,42.2,58.2,177.8,195.4,116.8,175.0,118.2,99.0,57.8,325.0,21.4,32.8,27.4,119.2
Arunachal pradesh,39.5,42.0,39.0,91.5,136.5,121.5,120.0,108.5,48.0,74.0,,157.0,120.0,143.0,,,70.0,333.0,18.0,23.0,38.0,140.0
Assam,40.7,31.5,36.74,75.93,130.69,106.13,109.44,90.89,44.89,69.89,202.0,145.93,138.82,140.81,154.95,114.94,57.0,257.77,13.37,22.3,30.67,95.45
Bihar,37.37,25.89,32.66,69.34,131.83,110.77,107.4,78.03,42.97,54.97,195.0,137.62,125.38,131.35,172.19,111.18,46.85,275.21,22.82,19.2,24.71,144.51
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,25.0,190.0
Chhattisgarh,39.0,34.57,37.71,73.57,134.57,102.57,105.86,85.29,42.43,60.29,199.29,145.29,124.86,129.71,143.43,116.86,49.29,295.57,24.57,23.71,26.14,134.71
Delhi,39.0,28.0,31.0,73.0,148.0,127.0,117.0,87.0,41.0,53.0,216.0,139.0,130.0,126.0,143.0,106.0,60.0,243.0,26.0,27.0,30.0,160.0
