,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  13/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.59,29.82,35.24,74.19,138.17,114.5,110.38,91.19,42.63,56.97,190.69,140.07,126.84,127.42,128.26,102.64,50.44,272.85,22.8,23.42,27.07,116.15
Maximum Price,65.0,51.0,67.0,132.0,180.0,156.0,156.0,145.0,60.0,80.0,258.0,235.0,220.0,190.0,244.0,170.0,143.0,558.0,30.0,60.0,63.0,210.0
Minimum Price,25.0,21.0,27.0,54.0,73.0,65.0,75.0,67.0,35.0,40.0,130.0,110.0,93.0,100.0,105.0,83.0,35.0,149.0,9.0,11.0,10.0,48.0
Modal Price,40.0,28.0,32.33,70.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,130.0,120.0,130.0,100.0,50.0,240.0,27.5,20.0,30.0,120.0
Andaman and Nicobar,44.0,,67.0,81.0,152.0,134.0,119.0,96.0,52.0,73.0,,187.0,220.0,,139.0,125.0,71.0,325.0,20.0,40.0,45.0,200.0
Andhra Pradesh,56.0,41.33,45.0,73.33,150.33,123.67,118.33,98.33,42.33,61.67,177.33,172.33,117.33,,116.33,92.67,59.67,349.0,22.0,29.33,29.0,70.0
Arunachal pradesh,38.0,42.0,40.0,90.0,130.0,130.0,120.0,110.0,,,,,,,,,,,,,,
Assam,41.06,31.67,36.35,73.71,128.88,103.0,109.06,90.12,44.82,70.82,234.5,143.59,134.69,136.06,158.14,108.3,58.29,268.19,14.71,21.47,30.88,95.4
Bihar,37.29,26.18,31.89,69.07,132.18,111.29,107.71,77.54,43.07,55.64,186.17,138.32,123.96,130.5,171.91,111.3,47.43,281.43,22.18,19.39,25.25,136.46
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,28.0,112.0
Chhattisgarh,39.67,34.33,37.5,73.67,132.83,101.33,105.17,84.33,41.5,61.17,190.0,143.6,125.83,129.33,150.2,117.17,48.17,303.5,24.0,23.17,26.17,106.0
Delhi,39.0,28.0,31.0,75.0,155.0,130.0,118.0,85.0,41.0,53.0,216.0,139.0,130.0,131.0,144.0,106.0,60.0,243.0,26.0,27.0,30.0,107.0
