,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  02/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.11,29.7,34.86,75.16,135.58,114.12,110.97,91.73,43.08,58.15,191.2,140.21,129.98,129.14,129.45,103.83,51.84,279.49,22.19,24.23,27.52,137.06
Maximum Price,65.0,51.0,67.0,133.0,172.0,155.0,163.0,143.0,70.0,80.0,275.0,248.0,220.0,198.0,244.0,175.0,143.0,558.0,36.0,60.0,75.0,263.0
Minimum Price,25.0,21.0,24.0,54.0,73.0,65.0,75.0,65.0,34.0,40.0,130.0,108.0,93.0,100.0,101.0,82.0,34.0,152.0,9.0,11.0,10.0,37.0
Modal Price,35.0,26.0,35.0,70.0,140.0,110.0,110.0,90.0,42.0,60.0,190.0,130.0,127.5,120.0,122.5,100.0,50.0,240.0,27.5,20.0,25.0,120.0
Andaman and Nicobar,41.0,,66.0,84.33,148.67,140.67,127.67,99.67,53.0,70.67,236.5,198.33,198.33,,163.0,130.33,75.33,308.33,20.33,43.33,48.33,174.67
Andhra Pradesh,56.67,39.67,40.33,72.67,145.33,121.67,114.33,102.33,42.33,54.33,172.33,180.0,113.33,150.0,112.33,92.33,58.67,375.67,22.67,30.67,27.0,159.33
Arunachal pradesh,39.5,42.0,39.0,92.5,135.0,120.0,120.0,110.0,48.0,74.0,,157.0,120.0,138.0,,,70.0,333.0,18.0,27.0,38.0,140.0
Assam,40.96,31.27,36.62,74.54,127.12,105.65,108.46,89.96,44.19,69.46,199.5,145.58,138.86,139.54,155.29,116.71,56.65,258.48,13.54,22.23,30.35,89.19
Bihar,37.5,25.88,32.35,69.03,130.97,110.29,106.97,77.5,42.76,54.94,191.07,137.82,124.65,131.21,170.15,111.11,47.68,278.24,22.26,19.15,24.79,130.88
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,25.0,138.0
Chhattisgarh,37.0,33.25,35.5,75.13,131.63,103.13,106.0,87.5,41.13,57.5,202.25,149.75,130.38,132.5,149.25,120.63,47.25,293.13,22.63,23.5,25.25,149.88
Delhi,39.0,28.0,31.0,72.0,148.0,127.0,117.0,87.0,41.0,53.0,216.0,139.0,130.0,126.0,143.0,106.0,58.0,242.0,26.0,27.0,30.0,203.0
DNH and DD,42.67,37.0,41.67,76.0,142.67,126.33,117.0,95.67,41.0,64.0,201.67,151.0,138.0,141.0,131.0,100.33,66.67,347.33,27.33,22.0,25.0,135.0
Goa,45.5,43.0,41.5,77.5,156.0,126.0,123.5,96.5,42.0,57.5,216.0,161.0,141.0,152.0,120.0,100.0,55.0,315.5,24.5,33.5,31.5,141.5
Gujarat,37.8,33.0,38.6,74.6,131.2,112.6,103.4,93.2,41.8,58.4,191.0,141.8,136.8,144.4,130.4,110.6,51.6,287.8,15.8,24.8,22.6,126.4
Haryana,39.75,26.0,32.75,66.5,127.25,101.5,100.5,92.5,42.25,58.75,186.0,143.75,132.5,129.0,165.5,114.0,45.25,235.0,25.75,18.0,23.75,127.75
