,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  28/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.17,30.08,35.48,81.59,149.39,118.37,115.01,93.67,43.87,58.8,191.59,138.1,127.57,124.07,126.36,101.29,52.55,275.44,22.36,24.05,33.85,30.33
Maximum Price,65.0,52.0,70.0,133.0,195.0,174.0,161.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,100.0,558.0,41.0,50.0,65.0,80.0
Minimum Price,23.0,21.0,27.0,58.0,87.0,83.0,81.0,70.0,36.0,40.0,125.0,110.0,93.0,96.0,103.0,82.0,35.0,155.0,9.0,11.0,15.0,9.0
Modal Price,40.0,40.0,32.0,80.0,160.0,110.0,115.0,90.0,42.0,60.0,200.0,140.0,120.0,120.0,128.0,110.0,50.0,200.0,28.0,20.0,30.0,20.0
Andaman and Nicobar,44.0,,67.67,92.33,167.67,142.0,131.33,97.67,54.33,72.67,226.5,184.0,196.0,,140.67,123.0,77.33,308.33,20.67,43.33,59.33,58.33
Andhra Pradesh,50.5,41.25,45.0,82.5,166.0,124.0,120.5,99.5,43.0,61.25,176.5,190.75,116.0,162.5,119.5,98.75,58.5,312.0,21.5,32.5,32.5,19.5
Arunachal pradesh,35.0,42.0,38.0,89.25,139.25,122.5,120.75,104.25,51.0,71.0,,157.67,155.0,140.67,212.5,,68.0,300.0,21.0,24.33,41.0,58.0
Assam,41.92,31.0,37.12,80.73,138.12,108.87,112.58,91.92,45.15,69.27,200.17,147.31,138.16,138.15,153.48,116.29,57.73,258.16,13.08,21.92,37.54,43.41
Bihar,38.48,27.0,32.64,78.32,146.32,116.04,112.36,80.76,43.76,55.8,200.0,134.6,122.52,127.56,170.0,109.6,48.44,279.72,23.48,19.36,31.24,34.92
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,38.0,30.0
Chhattisgarh,38.0,34.5,38.0,77.0,147.0,105.67,109.17,84.83,42.83,61.0,195.0,145.33,121.83,130.33,147.17,114.33,48.17,298.33,24.0,25.33,32.5,30.0
Delhi,39.0,28.0,31.0,88.0,170.0,133.0,123.0,90.0,43.0,53.0,216.0,145.0,126.0,126.0,141.0,99.0,58.0,247.0,26.0,25.0,38.0,25.0
DNH and DD,46.67,39.0,44.33,89.0,171.33,131.67,126.33,100.0,42.67,64.0,209.67,151.67,140.0,134.67,131.33,99.0,69.0,350.0,27.0,20.33,32.33,17.67
Goa,47.0,43.5,42.0,95.0,176.5,134.0,126.5,96.5,44.0,57.5,221.0,161.5,144.0,150.5,120.0,100.0,56.5,315.5,24.5,35.0,37.5,24.0
Gujarat,37.67,34.0,38.33,76.33,137.0,111.0,106.33,91.0,41.67,57.67,191.33,140.0,138.33,141.33,128.67,109.0,52.0,267.33,14.67,24.0,29.0,30.0
Haryana,40.5,26.75,33.0,70.75,129.25,102.75,104.25,95.5,42.0,56.67,187.0,143.33,129.33,125.67,158.0,103.67,44.33,222.67,24.67,15.33,26.0,29.33
Himachal Pradesh,38.17,21.0,32.33,82.25,148.58,123.17,115.0,90.08,45.25,53.25,219.0,164.25,137.92,131.0,150.0,120.5,47.33,258.75,27.58,31.5,37.42,30.42
Jammu and Kashmir,38.5,33.0,45.0,91.5,115.0,115.0,116.5,101.5,55.0,47.5,243.0,151.5,145.5,140.0,173.0,142.0,48.5,331.0,26.0,27.5,42.5,36.0
Jharkhand,39.5,31.8,35.38,79.88,149.56,112.0,111.0,83.31,44.94,57.8,182.73,137.44,122.13,132.4,149.86,106.53,49.38,298.33,23.63,19.31,30.0,34.56
Karnataka,55.61,42.71,45.65,90.68,159.68,133.94,124.1,107.29,42.19,49.87,179.35,168.61,122.58,139.5,123.26,97.71,51.45,290.42,19.26,30.84,34.9,19.37
Madhya Pradesh,37.63,27.44,33.34,78.85,152.78,109.34,109.63,89.78,42.63,58.32,191.6,137.4,120.5,111.28,143.9,109.82,47.61,247.82,19.57,19.62,27.51,23.95
Maharashtra,47.58,38.16,42.37,82.37,167.26,122.74,121.84,97.63,43.47,58.11,190.68,160.0,129.95,109.0,123.74,102.56,52.53,293.16,23.79,26.95,30.42,19.79
Meghalaya,38.89,38.38,37.22,78.6,134.17,125.6,117.13,90.22,46.44,72.56,139.0,133.11,140.0,136.78,184.33,159.5,77.8,343.33,22.56,25.33,48.22,40.44
Mizoram,44.33,40.0,42.0,95.0,126.5,128.5,114.0,100.0,50.0,73.33,198.0,192.67,207.0,141.67,209.0,139.0,100.0,431.67,25.0,36.0,47.33,71.0
Nagaland,40.75,41.25,48.44,96.67,131.92,122.25,121.33,97.06,50.06,71.0,200.0,140.63,172.0,150.19,198.75,137.5,77.78,311.67,17.69,27.0,51.67,54.33
Odisha,37.92,37.7,39.75,80.17,158.0,115.75,112.42,80.33,44.92,52.67,161.0,136.67,112.64,127.33,113.83,92.67,51.33,264.6,26.42,20.75,34.42,28.5
Puducherry,50.0,40.0,33.0,72.0,180.0,135.0,120.0,86.0,,,,,,,,,,,,,,
Punjab,37.47,24.67,29.6,82.87,149.8,119.33,114.53,98.47,43.4,59.13,195.5,123.86,119.4,117.67,138.71,106.75,51.0,265.27,26.0,19.53,33.33,28.53
Rajasthan,38.0,29.1,31.5,69.8,116.9,106.2,99.7,90.9,40.5,52.9,175.4,154.1,123.44,142.5,159.67,136.5,41.6,287.6,19.2,21.8,24.0,33.6
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,444.0,18.8,34.6,39.0,41.0
Tamil Nadu,56.67,43.8,51.81,87.63,175.89,137.26,124.19,93.63,42.74,45.67,213.23,180.78,123.31,,113.58,90.96,54.74,289.28,24.22,35.59,36.19,17.74
Telangana,48.25,36.5,47.25,74.0,148.25,120.5,111.5,89.0,39.5,61.0,167.25,164.25,106.5,130.5,110.5,96.0,54.25,281.0,19.25,22.5,30.0,23.25
Tripura,39.33,,38.0,87.0,140.0,127.67,115.33,107.67,47.33,71.67,,130.67,127.67,120.0,144.0,100.33,68.67,207.67,11.33,23.33,43.0,49.67
Uttar Pradesh,36.78,25.62,31.97,77.19,145.37,112.75,109.48,92.97,42.54,62.53,190.6,139.96,129.99,132.72,160.65,112.24,48.48,240.6,26.66,19.76,30.12,27.87
Uttarakhand,35.25,25.75,32.75,88.5,131.75,111.0,114.25,98.75,41.5,62.5,163.5,139.75,134.75,137.25,149.75,112.0,51.25,265.0,28.25,23.25,29.75,26.5
West Bengal,42.82,28.5,37.35,77.53,140.18,114.25,122.35,106.29,43.63,54.44,192.67,132.19,114.06,118.44,133.75,103.13,50.63,263.13,21.38,20.56,35.25,37.5
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
