,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  23/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.4,30.1,35.59,81.46,149.11,118.51,114.94,94.02,43.67,58.37,194.0,139.04,128.4,124.35,127.12,102.1,52.79,274.46,22.12,24.35,33.42,30.72
Maximum Price,65.0,59.0,70.0,133.0,193.0,173.0,173.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,31.0,57.0,65.0,71.0
Minimum Price,25.0,21.0,27.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,125.0,110.0,93.0,97.0,104.0,82.0,35.0,155.0,9.0,12.0,14.0,9.0
Modal Price,40.0,28.0,30.0,80.0,155.0,110.0,120.0,100.0,42.0,60.0,200.0,140.0,120.0,120.0,175.0,110.0,50.0,280.0,28.0,20.0,30.0,20.0
Andaman and Nicobar,44.0,,67.67,92.33,167.0,142.67,130.33,97.33,54.0,72.67,226.5,184.0,194.67,,143.0,125.33,77.33,308.33,20.67,46.67,59.33,58.33
Andhra Pradesh,52.2,40.8,44.2,79.6,159.4,122.4,117.0,100.6,43.2,58.2,176.8,195.6,117.6,175.0,119.0,98.6,58.2,325.0,21.2,31.8,31.6,19.6
Arunachal pradesh,36.0,42.0,40.0,92.5,142.5,130.0,125.0,105.0,55.0,72.0,,130.0,120.0,130.0,200.0,,,,15.0,25.0,40.0,60.0
Assam,42.17,31.22,36.26,80.09,137.95,106.53,110.87,92.17,45.17,70.59,200.4,146.83,137.65,138.91,159.2,116.14,57.41,261.59,13.96,21.74,37.74,45.5
Bihar,38.25,26.63,32.59,77.41,143.88,114.97,111.38,81.59,43.74,55.84,188.4,134.87,125.42,129.26,170.65,110.33,49.03,274.23,21.9,19.32,30.48,36.45
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,40.0,30.0
Chhattisgarh,39.14,35.29,38.71,80.71,146.29,105.29,108.43,85.14,42.71,59.71,203.29,144.86,125.43,131.14,144.14,112.67,48.71,297.57,24.57,24.71,32.0,27.86
Delhi,39.0,28.0,31.0,88.0,168.0,133.0,122.0,91.0,43.0,53.0,218.0,145.0,129.0,126.0,143.0,99.0,60.0,247.0,26.0,27.0,38.0,27.0
DNH and DD,46.0,39.33,44.33,87.33,169.67,132.0,126.33,100.0,42.67,64.0,208.33,151.67,140.0,133.33,131.33,99.67,69.0,350.0,27.0,20.33,32.0,18.0
Gujarat,35.33,32.67,37.0,75.0,132.67,111.67,106.33,92.0,41.0,56.67,191.33,143.67,138.33,145.0,131.67,112.33,50.0,264.0,13.0,25.33,28.67,42.0
Haryana,40.5,26.75,33.25,69.0,125.75,102.75,103.0,94.25,42.5,59.0,183.25,143.75,132.5,128.75,161.25,113.5,45.0,231.0,25.75,16.75,29.5,32.0
Himachal Pradesh,38.33,21.0,32.33,81.42,147.17,123.08,115.25,90.5,44.92,53.25,219.5,165.75,138.0,131.7,150.6,120.75,47.08,258.75,27.58,32.0,37.42,31.75
Jammu and Kashmir,37.0,36.5,45.5,90.0,125.0,119.0,120.0,106.5,49.0,48.5,243.0,144.0,138.5,130.0,174.0,158.0,49.0,359.0,28.0,30.0,35.0,35.0
Jharkhand,38.58,31.56,35.21,79.84,149.32,109.95,109.26,82.58,44.78,57.65,183.25,138.47,122.95,131.28,152.88,106.33,48.83,299.0,23.39,19.21,29.63,36.63
Karnataka,55.63,42.63,45.7,90.9,159.17,134.17,123.77,107.8,42.03,49.97,178.83,169.17,123.77,140.34,123.87,98.1,51.23,286.17,19.2,30.63,35.1,20.83
Kerala,50.54,44.08,46.42,99.75,171.58,143.08,135.55,111.58,43.31,53.46,229.0,195.44,153.67,,121.85,101.5,62.23,234.23,14.15,36.23,33.69,26.62
Madhya Pradesh,37.69,27.9,33.62,78.54,149.44,107.26,109.46,90.85,42.56,57.87,194.21,135.89,119.92,111.95,141.81,111.25,47.42,242.32,18.73,19.44,27.56,24.45
Maharashtra,47.63,38.16,42.42,81.74,166.26,122.84,121.11,97.95,43.95,58.16,190.95,160.56,130.53,110.79,124.53,103.5,52.32,293.11,23.79,26.05,30.16,20.58
Meghalaya,39.0,38.83,37.71,77.4,133.17,127.4,114.0,90.57,45.71,72.43,139.0,138.57,140.0,143.29,184.33,159.5,77.8,341.43,24.86,26.57,48.14,41.14
Mizoram,50.0,37.5,52.5,98.0,,,120.0,107.5,50.0,77.5,,190.0,220.0,140.0,,,121.5,520.0,27.5,48.5,61.5,70.0
