,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  27/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.31,30.13,35.33,81.46,148.31,117.86,114.54,93.61,43.77,58.44,192.91,139.25,128.19,126.05,126.47,101.53,53.0,278.74,22.16,24.31,33.57,30.94
Maximum Price,66.0,59.0,70.0,133.0,197.0,174.0,173.0,147.0,70.0,85.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,41.0,57.0,65.0,90.0
Minimum Price,23.0,21.0,26.0,58.0,75.0,70.0,80.0,70.0,36.0,40.0,122.0,108.0,93.0,96.0,103.0,82.0,35.0,155.0,9.0,11.0,14.0,9.0
Modal Price,40.0,26.0,33.5,80.0,160.0,110.0,110.0,100.0,42.0,60.0,200.0,140.0,130.0,120.0,115.0,100.0,50.0,200.0,28.0,20.0,30.0,20.0
Andaman and Nicobar,44.0,,67.67,92.0,167.0,142.0,131.0,97.67,54.33,72.67,226.5,185.33,196.0,,140.67,123.0,77.33,308.33,20.67,46.67,59.33,58.33
Andhra Pradesh,52.0,41.4,45.0,81.8,167.2,125.2,120.0,102.2,43.2,58.4,176.2,189.4,115.6,171.5,118.6,97.2,58.6,337.6,21.6,31.8,32.0,19.4
Arunachal pradesh,34.25,42.0,37.5,87.5,138.75,122.5,120.0,102.5,51.0,71.0,,157.33,155.0,140.67,212.5,,68.0,300.0,21.0,25.0,41.67,57.67
Assam,41.96,30.64,36.68,80.14,138.15,109.08,112.07,91.79,45.18,69.5,200.0,147.54,137.24,139.43,154.83,115.56,56.85,256.93,13.32,21.86,37.5,45.13
Bihar,38.47,27.0,33.06,77.15,143.74,114.97,112.47,81.76,43.97,55.52,195.07,135.33,125.58,128.52,169.88,112.81,48.48,275.24,22.91,18.97,30.55,35.64
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,38.0,30.0
Chhattisgarh,38.13,35.38,38.38,83.5,147.75,107.25,108.63,88.75,42.5,59.25,193.38,145.5,123.63,129.88,140.63,112.25,48.88,297.13,23.13,23.88,30.88,22.0
Delhi,39.0,28.0,31.0,88.0,170.0,133.0,123.0,90.0,43.0,53.0,216.0,145.0,126.0,126.0,141.0,99.0,58.0,247.0,26.0,25.0,38.0,25.0
DNH and DD,46.67,39.0,44.33,89.0,171.33,131.67,126.33,100.0,42.67,64.0,209.67,151.67,140.0,134.67,131.33,99.0,69.0,350.0,27.0,20.33,32.33,18.0
Goa,47.0,43.5,42.0,95.0,176.5,134.0,126.5,96.5,44.0,57.5,221.0,161.5,144.0,150.5,120.0,100.0,56.5,315.5,24.5,35.5,38.0,24.0
Gujarat,35.0,32.4,35.8,74.0,140.2,108.6,102.0,90.4,41.0,58.2,192.0,141.25,137.5,144.4,133.8,112.4,50.8,273.0,16.8,23.6,27.2,31.0
Haryana,40.5,26.75,33.0,70.75,129.25,102.75,104.25,95.5,42.75,59.0,186.5,144.75,133.0,130.25,162.25,111.5,45.75,236.5,26.0,16.5,30.25,32.0
Himachal Pradesh,38.5,21.0,32.42,82.25,147.83,124.0,115.17,90.25,45.0,53.25,219.5,165.25,138.5,131.5,150.6,120.25,47.33,258.75,27.58,31.42,37.17,30.75
Jammu and Kashmir,38.0,31.67,41.33,89.67,129.67,117.67,117.0,101.0,52.33,48.33,243.0,153.33,140.33,137.67,165.0,121.0,50.0,316.33,26.67,25.67,39.0,33.0
Jharkhand,38.58,31.5,35.11,79.58,148.84,110.32,109.16,82.42,44.94,57.94,180.54,138.32,123.37,131.06,153.82,106.06,49.35,294.81,24.18,19.44,30.61,34.28
