,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  18/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.13,30.09,35.39,81.31,147.2,117.61,114.11,93.51,43.73,58.32,193.83,139.73,128.22,126.03,127.56,101.75,52.97,276.15,22.22,24.12,33.43,36.06
Maximum Price,65.0,51.0,70.0,133.0,189.0,169.0,173.0,147.0,70.0,80.0,257.0,248.0,220.0,197.0,244.0,198.0,143.0,558.0,36.0,60.0,63.0,120.0
Minimum Price,26.0,21.0,27.0,54.0,75.0,70.0,80.0,70.0,37.0,40.0,125.0,108.0,93.0,95.0,100.0,83.0,35.0,155.0,9.0,11.0,14.0,9.0
Modal Price,40.0,28.0,30.0,80.0,160.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,130.0,120.0,125.0,100.0,50.0,215.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,45.0,,68.5,94.5,170.0,143.0,130.0,98.5,55.0,74.5,250.0,185.5,200.0,,148.5,126.5,81.0,305.0,22.0,46.0,59.0,65.0
Andhra Pradesh,54.0,41.33,44.33,85.33,169.0,128.0,119.67,100.0,43.33,61.67,177.33,171.67,118.33,,116.0,93.33,59.67,349.0,22.0,29.33,33.33,22.0
Arunachal pradesh,34.0,,40.0,95.0,155.0,130.0,130.0,100.0,55.0,72.0,,130.0,120.0,130.0,200.0,,,,15.0,25.0,40.0,60.0
Assam,42.04,30.4,36.78,79.78,137.96,109.26,111.52,91.44,45.19,69.37,203.2,146.65,137.65,139.38,153.4,113.38,57.07,256.0,13.3,22.07,36.48,56.91
Bihar,38.24,26.38,32.66,77.03,142.9,114.14,109.48,80.48,43.69,55.69,200.31,135.83,123.31,127.76,170.83,108.04,49.03,271.48,23.14,19.24,32.1,40.66
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,30.0
Chhattisgarh,39.67,35.83,38.33,81.5,146.17,105.5,108.83,85.83,43.17,59.33,208.67,144.5,125.67,130.5,144.17,112.33,49.17,293.5,24.83,25.33,33.67,32.67
Delhi,39.0,28.0,31.0,88.0,167.0,133.0,122.0,91.0,42.0,53.0,218.0,143.0,129.0,128.0,143.0,99.0,60.0,247.0,26.0,25.0,38.0,28.0
