,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  22/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.05,30.04,35.37,80.72,147.07,117.01,113.87,93.28,43.77,58.59,192.35,139.53,127.58,125.87,126.97,101.61,52.98,279.84,22.36,23.97,33.36,32.28
Maximum Price,66.0,59.0,70.0,133.0,192.0,172.0,173.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,31.0,57.0,65.0,110.0
Minimum Price,26.0,21.0,26.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,120.0,108.0,93.0,97.0,104.0,82.0,35.0,155.0,9.0,11.0,14.0,9.0
Modal Price,40.0,28.0,30.0,80.0,160.0,110.0,120.0,100.0,42.0,60.0,200.0,140.0,120.0,120.0,147.33,100.0,50.0,260.0,28.0,20.0,30.0,20.0
Andaman and Nicobar,44.0,,67.67,92.0,167.0,142.0,130.33,97.33,54.0,72.67,226.5,185.33,196.0,,140.67,123.0,77.33,308.33,20.67,46.67,59.33,58.33
Andhra Pradesh,52.2,40.8,44.2,79.6,159.4,122.4,117.0,100.6,43.2,58.2,176.8,195.6,117.6,175.0,119.0,98.6,58.2,325.0,21.2,31.6,31.6,19.4
Arunachal pradesh,38.33,42.0,39.0,94.0,146.0,123.33,124.0,105.67,51.5,72.5,,141.5,122.5,131.5,200.0,,70.0,,16.5,24.0,41.5,60.0
Assam,42.04,30.64,36.75,79.61,137.59,108.88,111.79,91.61,45.18,69.46,200.67,147.86,138.64,139.89,155.35,115.67,57.04,256.74,13.29,21.79,37.18,45.52
Bihar,38.34,26.63,33.09,76.51,141.74,113.86,109.97,81.74,43.66,55.83,189.73,136.23,124.79,129.47,169.26,111.78,49.69,272.89,22.35,19.49,30.74,36.66
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,30.0
Chhattisgarh,37.89,33.78,37.33,82.0,143.67,104.56,107.56,88.89,42.11,58.56,191.78,149.22,127.22,132.56,144.33,116.0,48.22,284.67,23.33,24.0,30.89,25.67
Delhi,39.0,28.0,31.0,88.0,168.0,133.0,122.0,91.0,43.0,53.0,218.0,145.0,129.0,126.0,143.0,99.0,60.0,247.0,26.0,27.0,38.0,27.0
DNH and DD,46.0,39.33,44.33,87.33,169.33,132.0,126.33,100.0,42.67,64.0,208.33,151.67,140.0,133.33,131.33,99.67,69.0,350.0,27.0,20.33,30.33,18.0
Goa,46.0,45.0,44.0,88.0,167.0,130.0,122.0,95.0,43.0,59.0,225.0,148.0,138.0,128.0,123.0,98.0,55.0,323.0,24.0,33.0,38.0,25.0
Gujarat,36.75,33.0,37.25,76.0,135.0,110.5,103.5,91.5,41.25,57.25,192.0,141.75,137.5,143.5,130.25,110.5,51.0,273.0,14.0,25.25,29.0,38.25
Haryana,40.5,26.75,33.25,69.0,125.75,102.75,103.0,94.25,42.5,59.0,182.67,142.0,128.67,123.67,156.67,106.33,45.0,231.0,25.75,17.0,28.75,32.75
Himachal Pradesh,38.42,21.0,32.42,81.42,147.17,123.17,115.5,90.5,44.83,53.25,219.5,165.83,138.08,131.7,150.6,120.75,47.17,258.75,27.58,32.0,37.17,32.0
Jammu and Kashmir,39.5,30.5,40.5,86.5,126.75,118.0,115.25,100.75,51.25,52.25,243.0,160.0,143.5,145.0,166.5,132.67,49.0,313.75,25.0,24.75,37.75,32.5
Jharkhand,38.53,31.39,35.21,79.26,148.58,109.16,108.95,82.26,44.67,57.76,182.42,138.68,123.21,130.83,153.47,105.83,48.72,298.88,23.44,19.16,29.16,37.11
Karnataka,55.94,42.44,45.78,90.16,159.38,133.81,123.56,106.72,42.09,50.47,180.69,168.0,123.0,138.68,123.53,97.66,52.0,290.91,19.38,30.5,34.66,21.45
Madhya Pradesh,38.23,27.8,33.39,78.05,150.43,107.07,109.27,90.23,42.52,57.84,193.48,136.8,119.7,112.16,142.74,110.77,47.75,246.61,19.05,19.77,26.93,25.77
Maharashtra,47.63,38.16,42.42,81.47,166.05,122.68,121.11,97.95,43.95,58.16,191.0,160.56,130.53,111.0,124.68,103.56,52.26,293.32,23.79,26.11,30.26,20.79
Meghalaya,39.3,39.0,38.2,79.5,138.43,129.5,115.89,90.9,46.3,72.5,139.0,135.3,140.0,137.4,172.0,147.6,79.33,359.0,22.2,25.5,48.1,44.1
Mizoram,47.09,42.44,44.7,98.89,131.43,122.43,122.5,101.36,49.73,76.0,174.0,193.2,186.75,136.8,211.0,135.2,112.88,467.8,28.55,38.18,51.27,75.5
Nagaland,40.63,40.63,48.31,97.08,129.0,121.25,120.67,97.06,50.38,71.0,200.0,141.25,170.0,150.5,186.0,137.5,77.78,311.0,17.69,27.31,51.88,56.88
Odisha,37.27,38.0,40.32,78.68,157.36,113.95,110.64,80.23,44.14,51.52,170.83,140.0,115.48,134.2,117.09,95.45,51.14,270.47,26.32,20.18,32.09,30.05
Puducherry,46.0,39.0,33.0,73.0,168.0,125.0,110.0,87.0,40.0,45.0,205.0,166.0,149.0,,113.0,94.0,49.0,387.0,23.0,28.0,29.0,25.0
Punjab,37.2,24.4,29.53,82.13,148.4,119.8,115.6,97.67,43.29,59.5,194.93,126.33,120.87,119.53,138.36,108.58,51.43,262.43,26.14,19.53,31.47,27.4
Rajasthan,38.75,29.71,32.58,73.5,119.92,106.79,102.83,89.42,41.79,51.87,188.38,150.75,127.59,136.87,160.5,129.33,43.54,298.96,20.71,22.25,25.83,39.57
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.2,136.0,158.25,195.0,,57.0,444.0,18.8,34.6,39.0,43.0
Tamil Nadu,55.73,44.25,52.93,86.7,175.0,137.87,123.97,94.38,42.67,46.03,212.5,180.7,123.37,,115.3,91.4,54.23,288.58,23.37,34.83,36.33,18.67
Telangana,49.6,38.7,43.4,71.7,140.4,116.9,108.7,90.9,39.9,64.3,168.3,173.7,117.44,149.0,116.8,97.8,56.5,302.67,18.56,27.1,30.2,26.11
Tripura,38.67,,38.33,87.5,146.5,131.5,112.33,109.33,47.0,70.0,,133.33,136.5,118.33,155.0,103.0,72.67,239.33,10.67,23.33,42.0,52.33
Uttar Pradesh,36.59,25.77,31.99,76.75,143.41,112.09,108.85,93.09,42.48,62.18,191.25,141.23,130.13,133.8,161.2,112.85,48.47,242.48,26.73,19.91,29.81,29.16
Uttarakhand,34.5,25.5,32.5,86.25,128.25,109.25,112.0,98.75,41.5,62.5,162.0,140.0,135.25,137.75,150.25,111.5,51.25,265.0,28.25,22.0,30.5,30.0
West Bengal,44.0,29.0,37.59,78.82,145.95,115.33,124.14,106.77,43.76,54.67,198.55,132.0,114.14,116.43,132.33,101.3,51.81,264.24,22.05,20.38,34.81,38.24
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
