,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  05/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.0,29.94,35.26,79.44,143.24,116.54,112.51,93.09,43.42,58.21,192.2,140.77,129.08,127.66,128.05,102.95,52.8,278.59,22.22,24.57,33.37,49.33
Maximum Price,65.0,59.0,67.0,133.0,188.0,163.0,173.0,147.0,70.0,85.0,270.0,258.0,220.0,200.0,244.0,198.0,150.0,558.0,34.0,50.0,65.0,145.0
Minimum Price,23.0,21.0,25.0,55.0,75.0,70.0,80.0,66.0,36.0,40.0,130.0,108.0,93.0,97.0,107.0,83.0,34.0,154.0,9.0,11.0,14.0,15.0
Modal Price,40.0,25.0,30.0,80.0,150.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,120.0,120.0,115.0,100.0,50.0,300.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,192.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,99.0
Andhra Pradesh,52.2,40.8,44.2,76.2,152.8,122.0,115.2,99.4,43.6,58.2,177.8,196.0,117.2,175.0,119.0,99.0,58.0,325.0,21.2,31.6,31.0,28.6
Arunachal pradesh,34.5,42.0,38.25,90.0,135.0,122.0,120.0,104.25,51.0,71.33,,158.33,153.33,142.0,212.5,,70.0,300.0,21.0,27.67,41.67,79.0
Assam,41.96,30.89,36.64,78.48,134.17,107.09,110.4,90.6,44.88,70.2,199.2,147.2,137.42,137.88,154.14,113.94,56.84,258.92,13.52,22.08,36.16,79.71
Bihar,38.19,26.31,32.78,74.92,137.31,112.08,108.64,81.08,43.34,55.69,189.88,137.69,126.75,130.83,168.79,111.31,49.37,272.94,22.8,19.6,32.2,59.23
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,35.0
Chhattisgarh,37.67,33.44,36.22,76.89,139.33,104.56,107.78,89.22,41.56,59.56,186.86,148.57,124.0,129.0,146.86,115.0,48.78,283.78,23.33,23.56,30.11,40.33
Delhi,39.0,28.0,31.0,83.0,165.0,132.0,115.0,91.0,42.0,53.0,218.0,143.0,131.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,37.0,40.0
DNH and DD,45.33,38.67,44.33,82.67,153.67,130.67,121.33,95.33,42.33,64.0,211.0,153.33,138.67,130.33,131.67,101.0,68.33,349.0,27.0,20.33,29.67,30.0
Goa,47.0,43.5,42.0,85.0,168.5,130.0,124.0,97.5,43.0,57.5,219.5,161.5,144.0,152.5,122.5,101.5,58.5,315.5,24.5,35.0,37.5,34.0
Gujarat,39.4,33.0,38.4,75.6,133.8,113.0,105.2,91.6,42.2,58.6,192.4,139.4,133.0,136.8,126.2,110.0,51.6,284.8,14.25,26.4,27.4,61.6
Haryana,40.25,26.25,33.25,69.25,129.75,104.5,101.0,95.25,42.75,59.25,186.0,143.0,132.5,128.5,158.25,113.75,46.25,236.0,25.75,17.25,26.0,65.75
Himachal Pradesh,37.83,21.0,32.25,78.42,144.92,121.67,112.83,88.0,44.5,53.25,219.5,166.75,139.5,133.0,152.4,121.5,46.58,258.75,27.58,31.58,38.5,48.25
