,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  09/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.87,29.87,35.47,79.75,145.03,116.54,112.87,93.14,43.51,58.04,192.42,140.19,127.99,126.12,128.05,102.89,52.09,274.9,22.55,24.18,33.77,43.26
Maximum Price,65.0,59.0,67.0,133.0,188.0,164.0,156.0,147.0,70.0,80.0,270.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,37.0,60.0,65.0,150.0
Minimum Price,26.0,21.0,27.0,55.0,75.0,70.0,80.0,70.0,37.0,40.0,130.0,110.0,93.0,97.0,108.0,83.0,35.0,155.0,9.0,11.0,14.0,12.0
Modal Price,40.0,28.0,30.0,80.0,160.0,110.0,115.0,90.0,42.0,60.0,200.0,130.0,130.0,120.0,147.5,100.0,50.0,200.0,28.0,20.0,35.0,40.0
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,192.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,76.67
Andhra Pradesh,52.2,40.8,44.2,78.0,158.4,122.0,116.2,100.6,43.0,58.2,177.8,196.0,117.2,175.0,119.8,99.2,58.2,325.0,21.2,31.4,31.2,25.2
Arunachal pradesh,36.0,42.0,40.0,90.0,135.0,127.5,125.0,105.0,55.0,72.0,,130.0,120.0,130.0,200.0,,,,15.0,30.0,45.0,80.0
Assam,41.39,32.25,36.0,78.65,136.45,106.68,110.3,90.57,45.09,70.57,202.0,145.43,134.56,136.26,155.53,109.71,57.26,259.59,13.74,22.22,36.09,76.0
Bihar,38.15,26.29,32.59,75.62,139.88,112.47,108.91,80.74,43.39,55.15,192.56,137.32,125.88,129.68,168.21,112.04,49.03,279.42,22.76,19.58,32.52,50.63
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,35.0
Chhattisgarh,37.4,34.0,36.4,74.6,140.6,101.8,107.2,82.6,42.8,60.8,197.8,143.2,119.8,126.8,147.8,114.8,48.2,289.6,24.0,25.6,35.0,38.6
Delhi,39.0,28.0,31.0,83.0,165.0,132.0,115.0,91.0,42.0,53.0,218.0,143.0,129.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,38.0,38.0
DNH and DD,46.67,40.0,44.33,88.0,158.0,130.67,123.33,95.33,42.67,64.0,211.33,153.33,138.67,129.67,131.67,100.67,68.33,349.0,27.0,20.33,32.0,26.67
Gujarat,37.0,33.0,40.0,75.5,133.5,117.0,114.0,100.5,43.5,57.0,185.0,143.5,133.5,148.5,131.0,115.0,48.0,274.5,13.5,27.5,26.0,66.5
Haryana,40.25,26.25,33.25,69.5,130.0,105.0,101.5,95.75,42.75,59.0,186.0,143.0,132.5,128.5,158.25,113.75,46.25,234.75,25.75,17.0,26.5,64.0
Himachal Pradesh,37.55,21.0,32.27,79.18,146.09,122.18,113.27,89.0,44.55,52.64,219.5,168.45,140.73,134.22,152.4,121.5,46.82,260.73,27.55,33.0,38.18,44.82
Jammu and Kashmir,37.67,31.33,41.67,86.67,127.67,117.67,119.33,101.0,51.67,47.67,243.0,154.0,143.0,139.33,168.67,122.5,49.67,317.33,26.67,26.67,40.0,50.33
Jharkhand,37.89,31.65,35.06,77.56,146.0,108.17,108.0,82.06,44.06,56.94,183.09,140.06,124.5,132.71,158.19,106.12,47.59,292.63,23.12,19.22,28.11,46.17
Karnataka,55.87,41.73,46.17,89.1,155.8,133.1,122.4,106.63,41.77,50.4,180.33,168.63,121.53,140.03,124.6,98.47,51.97,290.6,19.2,30.73,34.93,27.07
Madhya Pradesh,36.62,27.7,33.41,76.62,145.18,105.9,107.4,90.78,42.18,57.95,191.9,137.85,121.31,114.92,146.37,112.52,47.45,245.29,19.79,20.07,27.25,35.08
Maharashtra,47.53,38.21,42.74,79.16,162.84,122.47,119.37,99.26,43.53,57.84,190.74,160.78,131.47,113.11,126.58,104.81,52.32,292.84,23.74,27.26,31.11,34.21
