,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  04/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.86,29.87,35.14,79.12,142.58,116.14,112.11,93.07,43.41,58.19,192.51,140.52,129.18,127.64,128.29,102.96,52.8,279.41,22.21,24.65,33.41,51.83
Maximum Price,65.0,51.0,67.0,133.0,183.0,163.0,170.0,145.0,70.0,85.0,283.0,258.0,220.0,200.0,244.0,198.0,150.0,558.0,33.0,60.0,70.0,180.0
Minimum Price,23.0,21.0,25.0,54.0,75.0,70.0,80.0,66.0,36.0,40.0,115.0,108.0,93.0,97.0,107.0,83.0,34.0,154.0,9.0,12.0,13.0,15.0
Modal Price,40.0,26.0,34.0,80.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,125.0,120.0,120.0,100.0,50.0,300.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,192.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,99.0
Andhra Pradesh,52.2,40.8,44.2,75.0,151.8,121.2,115.0,99.0,43.6,58.2,177.8,196.0,117.2,175.0,119.0,99.0,58.0,325.0,21.2,33.0,30.6,31.6
Arunachal pradesh,34.5,42.0,38.25,89.25,135.0,122.0,119.5,103.75,51.0,71.33,,157.67,153.33,142.67,212.5,,70.0,316.5,21.0,26.0,41.67,80.67
Assam,41.72,31.9,36.32,77.72,134.71,107.23,109.36,90.56,44.8,69.04,199.5,147.84,138.47,137.72,157.05,115.29,57.16,258.71,13.52,22.12,35.96,82.52
Bihar,37.74,26.29,32.71,74.57,137.46,111.71,108.51,79.74,43.35,55.97,196.71,138.46,125.0,130.11,169.54,110.21,48.5,270.32,23.32,19.74,32.03,57.85
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,35.0
Chhattisgarh,37.75,34.25,36.5,78.0,137.88,104.38,107.0,87.5,41.88,58.0,202.75,146.88,129.63,131.25,150.29,120.75,48.13,292.75,22.75,24.0,31.13,40.75
Delhi,39.0,28.0,31.0,83.0,165.0,132.0,115.0,91.0,42.0,53.0,218.0,143.0,131.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,37.0,40.0
DNH and DD,45.0,38.67,44.67,82.33,153.67,132.0,121.0,95.33,42.33,64.0,211.67,153.67,139.33,131.67,133.0,101.33,68.33,350.0,27.0,21.0,30.67,36.67
Goa,47.0,43.5,42.0,85.0,165.0,130.0,124.0,97.5,43.0,57.5,219.5,161.5,144.0,152.5,122.5,101.5,58.5,315.5,24.5,35.0,37.5,36.0
Gujarat,37.0,33.0,37.75,73.75,134.75,111.75,104.5,92.5,42.25,57.75,188.0,141.75,137.5,143.5,130.25,111.25,50.75,273.5,14.25,25.5,29.25,57.0
Haryana,40.25,25.75,32.75,67.75,130.5,101.75,99.0,93.75,42.0,58.75,188.5,143.25,132.75,127.75,158.5,114.0,45.25,234.5,25.75,16.75,24.75,68.0
Himachal Pradesh,37.58,21.0,32.25,77.5,144.25,121.42,112.75,88.25,44.5,53.25,219.5,166.75,139.42,133.0,152.4,121.5,46.58,258.75,27.58,31.67,38.5,48.67
Jammu and Kashmir,37.67,31.33,41.67,87.67,127.67,117.67,116.67,101.0,51.67,47.67,243.0,154.0,143.0,139.33,168.67,122.5,49.0,317.33,26.67,28.33,40.0,61.33
Jharkhand,38.0,31.17,34.95,75.68,142.47,107.63,107.0,81.37,43.83,57.18,186.0,139.74,123.37,132.56,157.12,106.56,47.83,299.5,23.44,19.39,28.89,53.76
Karnataka,55.19,41.66,45.38,88.13,152.25,131.97,121.75,105.84,41.84,50.03,179.94,170.06,122.84,140.39,124.69,99.16,52.0,293.71,19.48,30.44,34.75,32.31
Kerala,50.31,43.92,47.23,96.54,166.85,142.23,133.08,110.92,43.17,53.58,226.43,195.67,154.69,,121.85,100.92,63.67,234.25,14.0,35.62,34.69,35.38
Madhya Pradesh,37.19,27.53,33.17,76.96,144.23,105.68,106.72,90.34,42.09,57.83,192.32,137.81,120.72,114.15,143.26,112.25,47.53,244.32,19.11,20.68,25.89,44.72
Maharashtra,47.63,38.26,42.58,77.89,159.84,121.58,118.53,98.26,43.21,57.74,190.89,160.78,131.42,112.79,127.53,105.25,52.21,292.0,23.63,27.58,31.37,42.37
Meghalaya,38.6,38.78,38.3,79.5,135.0,127.83,115.56,90.8,46.2,72.3,139.0,135.0,141.25,137.3,167.67,142.0,79.33,359.3,21.8,25.6,48.5,69.5
Mizoram,46.8,43.38,45.2,98.25,132.43,126.67,123.75,105.8,50.0,76.5,179.67,188.11,172.4,142.3,181.0,137.2,116.63,493.89,28.8,40.6,54.1,92.56
Nagaland,40.63,40.13,47.88,96.67,130.25,122.13,122.0,97.06,50.69,71.0,200.0,141.56,178.33,150.81,186.0,137.5,76.11,309.67,17.56,28.5,49.06,87.5
Odisha,36.96,38.06,39.79,77.28,152.8,113.04,108.16,80.24,43.68,52.13,165.5,138.92,116.22,133.78,117.76,95.84,49.76,277.79,25.96,20.44,32.76,39.56
Puducherry,46.0,39.0,33.0,73.0,168.0,125.0,110.0,87.0,40.0,45.0,,,,,,,49.0,387.0,23.0,29.0,29.0,33.0
Punjab,36.93,24.29,29.29,79.71,143.79,116.71,110.14,95.29,42.86,58.57,195.85,128.93,122.86,120.79,141.31,108.82,50.71,263.71,26.29,20.5,33.21,50.5
Rajasthan,39.9,29.48,32.41,71.79,115.86,105.41,100.03,89.03,41.32,51.96,184.52,153.38,129.85,140.04,162.54,139.6,43.33,297.37,20.0,21.5,24.79,69.21
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,446.0,19.0,35.6,43.0,77.6
Tamil Nadu,55.28,43.74,52.41,83.76,168.9,133.52,118.79,92.96,41.97,45.28,212.79,184.69,124.66,,116.17,93.28,54.1,287.55,23.69,34.66,36.0,26.31
Telangana,48.9,39.0,43.2,71.6,134.3,115.7,107.4,90.4,40.0,62.8,168.0,172.3,118.6,148.83,118.7,98.2,55.0,298.0,18.9,28.8,30.1,36.7
Tripura,39.5,,38.0,82.33,141.67,128.33,109.75,99.25,47.0,70.5,,132.25,127.67,118.0,151.25,103.75,66.0,218.75,11.0,23.0,41.25,82.0
Uttar Pradesh,36.64,25.73,31.97,75.01,138.49,110.91,107.58,92.73,42.15,62.08,191.76,142.12,130.65,134.93,163.41,113.59,47.69,242.38,26.73,20.14,30.36,48.42
Uttarakhand,34.5,26.0,32.25,83.5,123.75,106.0,109.75,101.25,41.0,62.75,162.75,138.75,141.0,140.5,154.25,114.0,51.25,263.5,28.25,23.0,32.25,43.0
West Bengal,43.96,29.7,37.96,78.26,136.83,113.86,119.78,106.22,43.68,54.55,198.09,133.05,114.14,117.77,133.95,101.85,51.91,276.05,21.95,20.95,36.0,55.09
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
