,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  12/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.26,29.96,35.23,80.65,145.53,117.12,113.64,93.45,43.57,58.2,192.53,140.03,128.89,126.95,127.56,102.63,52.98,279.81,22.14,24.6,33.53,40.46
Maximum Price,65.0,59.0,67.0,133.0,188.0,166.0,173.0,147.0,70.0,80.0,270.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,35.0,60.0,65.0,123.0
Minimum Price,27.0,21.0,26.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,125.0,108.0,93.0,96.0,107.0,83.0,35.0,155.0,9.0,13.0,14.0,12.0
Modal Price,40.0,26.0,30.0,80.0,150.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,125.0,120.0,120.0,100.0,50.0,270.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,41.33,,66.0,84.67,154.33,141.67,128.0,99.33,52.67,70.67,236.5,192.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,73.33
Andhra Pradesh,52.2,40.8,44.2,78.0,158.4,122.0,116.2,100.6,43.0,58.2,177.8,196.0,117.2,175.0,119.8,99.2,58.2,325.0,21.2,31.4,31.6,21.0
Arunachal pradesh,38.33,42.0,39.33,96.0,146.0,125.0,125.0,105.67,51.5,73.0,,143.5,120.0,132.5,200.0,,70.0,,16.5,24.0,42.5,71.5
Assam,41.44,31.4,36.56,78.67,135.88,107.52,111.04,91.3,45.15,69.89,202.6,147.0,138.05,139.96,154.91,115.0,57.41,258.04,13.37,22.0,36.04,67.22
Bihar,37.82,26.53,32.21,75.62,141.44,111.97,109.71,79.94,43.38,55.32,192.25,136.91,123.71,129.21,167.96,109.07,48.26,271.85,23.09,19.35,31.5,47.41
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,30.0
Chhattisgarh,38.43,32.67,36.29,76.83,135.17,103.71,107.71,88.14,42.29,57.33,196.17,150.67,130.29,133.33,151.83,118.0,47.57,290.43,22.86,24.57,32.57,33.57
Delhi,39.0,28.0,31.0,87.0,167.0,132.0,118.0,91.0,42.0,53.0,218.0,145.0,129.0,128.0,143.0,101.0,60.0,247.0,26.0,25.0,38.0,33.0
DNH and DD,47.67,39.33,44.67,89.33,163.0,131.0,126.0,95.33,42.33,64.0,208.33,152.0,139.0,132.33,131.67,100.33,68.33,351.0,27.0,20.33,34.33,24.0
Goa,47.0,43.5,42.0,88.0,168.5,133.5,123.5,97.5,43.0,57.5,221.0,161.5,142.5,150.5,121.5,99.0,58.5,315.5,24.5,34.0,37.5,27.5
