,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  14/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.11,29.91,35.24,80.81,145.67,116.91,113.48,93.54,43.66,58.22,193.06,139.81,128.9,127.08,127.69,102.39,53.05,279.31,22.14,24.45,33.43,38.71
Maximum Price,65.0,51.0,70.0,133.0,196.0,168.0,173.0,136.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,36.0,60.0,65.0,123.0
Minimum Price,23.0,21.0,26.0,55.0,75.0,70.0,80.0,70.0,36.0,40.0,126.0,108.0,93.0,96.0,105.0,83.0,35.0,155.0,9.0,11.0,14.0,11.0
Modal Price,40.0,26.0,40.0,80.0,120.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,120.0,120.0,120.0,100.0,50.0,200.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,43.0,,67.33,87.0,161.0,141.33,128.0,97.0,54.0,72.0,226.5,188.67,198.33,,141.33,123.0,77.67,308.33,20.67,47.33,59.33,73.33
Andhra Pradesh,52.2,41.0,44.6,78.8,160.0,122.6,117.0,101.6,43.0,58.2,177.8,196.0,117.2,175.0,119.8,99.2,58.2,325.0,21.2,32.8,32.0,22.0
Arunachal pradesh,34.25,42.0,38.25,91.0,139.5,122.75,120.75,104.25,51.0,71.0,,142.5,121.5,131.5,200.0,,70.0,300.0,21.0,26.0,39.33,65.67
Assam,42.15,30.8,36.7,79.26,135.96,107.96,110.89,91.63,44.96,70.0,199.8,148.42,138.14,140.42,155.43,116.65,57.5,257.8,13.35,21.69,36.04,65.68
Bihar,38.32,26.24,32.97,76.12,140.94,113.47,108.71,81.26,43.52,55.45,192.13,136.38,126.15,129.62,170.68,110.93,49.21,278.58,22.67,19.35,31.82,44.15
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,30.0
Chhattisgarh,38.0,34.43,36.43,82.14,138.86,104.86,108.86,89.0,43.0,56.14,205.0,150.14,131.43,135.43,147.43,118.0,47.57,289.0,22.86,24.43,31.71,32.71
Delhi,39.0,28.0,31.0,88.0,168.0,132.0,120.0,91.0,42.0,53.0,218.0,145.0,129.0,128.0,143.0,101.0,60.0,247.0,26.0,25.0,38.0,28.0
DNH and DD,45.33,38.33,44.67,87.67,166.0,132.0,126.33,96.67,42.33,64.0,207.67,152.0,140.33,133.33,131.67,99.67,69.0,351.0,27.0,20.33,31.33,22.0
Goa,48.0,42.0,40.0,88.0,170.0,137.0,125.0,100.0,43.0,56.0,217.0,175.0,150.0,173.0,118.0,100.0,62.0,308.0,25.0,35.0,37.0,27.0
Gujarat,37.0,33.0,37.75,75.0,134.75,111.75,104.5,92.5,42.25,57.75,189.75,141.75,137.5,143.5,130.25,111.25,50.75,273.5,14.25,25.5,28.0,57.0
Haryana,40.25,26.25,33.5,70.0,128.0,104.25,103.5,94.0,42.75,59.25,184.5,143.75,132.5,129.5,161.75,114.75,45.5,232.0,25.75,17.25,26.5,61.0
Himachal Pradesh,38.33,21.0,32.25,79.42,145.58,122.0,113.25,89.67,44.5,53.25,219.5,167.08,139.67,133.3,152.4,121.5,46.58,258.75,27.58,31.5,37.67,35.92
Jammu and Kashmir,37.67,31.33,41.33,89.33,131.0,116.0,118.33,101.0,52.0,48.0,243.0,153.67,141.67,137.67,167.0,121.0,50.0,319.67,26.67,26.67,40.0,37.33
Jharkhand,38.42,31.56,35.11,78.89,147.58,109.05,108.74,82.21,44.67,57.41,181.92,139.68,123.79,131.0,155.06,106.89,48.5,295.65,23.39,19.58,28.53,41.68
Karnataka,55.0,42.33,45.17,89.87,156.7,132.17,122.13,104.9,42.03,49.93,180.8,168.67,122.6,140.41,123.4,98.63,51.8,290.8,18.7,30.37,33.9,22.6
Kerala,50.38,44.0,46.69,98.62,168.83,141.42,133.0,111.0,43.15,53.77,234.6,192.56,152.62,,121.15,99.83,62.69,230.38,14.0,35.23,34.15,28.31
Madhya Pradesh,37.49,27.64,33.36,77.51,148.96,106.62,108.29,90.29,42.27,57.42,191.89,137.02,119.82,112.38,142.43,111.33,47.53,244.58,18.95,20.36,26.8,30.62
Maharashtra,47.42,38.42,42.79,80.58,163.68,122.63,120.0,99.11,43.63,58.0,190.58,159.78,131.32,112.21,125.53,104.0,52.16,292.79,23.74,27.47,30.63,25.21
Meghalaya,38.33,38.75,38.22,79.83,138.14,127.83,114.63,91.89,46.11,72.33,139.0,136.67,140.0,139.22,169.5,148.6,79.33,358.89,22.89,26.67,49.11,57.22
Mizoram,47.18,42.56,44.8,98.67,131.0,122.43,122.5,103.45,49.73,76.1,176.0,192.5,169.4,142.64,173.67,135.8,112.88,467.8,28.55,38.55,52.27,84.1
Nagaland,40.69,40.13,48.19,97.92,129.83,122.75,122.0,97.06,51.0,71.71,200.0,141.25,180.0,150.19,188.0,137.5,76.11,310.33,17.56,27.88,50.94,75.31
Odisha,37.44,37.56,40.04,78.04,154.4,112.48,109.76,80.64,44.2,51.76,176.83,139.12,117.22,137.56,117.4,95.12,50.0,280.05,26.08,20.4,32.04,31.4
Puducherry,46.0,39.0,33.0,73.0,168.0,125.0,110.0,87.0,40.0,45.0,204.0,169.0,149.0,,115.0,93.0,49.0,387.0,23.0,29.0,29.0,23.0
Punjab,37.13,24.53,30.07,82.0,144.93,117.73,111.87,96.6,43.07,59.31,195.07,125.07,121.13,119.71,138.93,107.18,52.14,264.57,25.86,19.53,32.8,30.14
Rajasthan,40.58,29.5,32.42,73.27,118.04,106.92,102.85,89.88,41.4,52.08,189.12,153.88,127.39,140.75,162.18,139.6,43.2,298.36,20.6,22.4,25.56,44.75
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,446.0,19.0,35.2,43.0,59.6
Tamil Nadu,56.46,43.46,52.11,87.32,175.25,136.61,123.61,93.73,42.57,44.64,212.36,183.12,125.07,,116.04,92.64,54.04,288.11,24.39,34.04,36.07,18.57
Telangana,49.0,38.7,43.3,71.4,138.9,115.7,107.2,90.7,39.9,63.6,167.6,172.3,118.4,147.83,118.1,97.8,55.56,298.1,18.8,27.3,30.3,34.6
Tripura,39.5,,38.0,86.33,142.0,128.67,111.5,102.5,46.75,70.5,,132.25,127.67,117.5,148.5,102.25,66.0,222.0,11.0,23.0,42.0,60.25
Uttar Pradesh,36.79,25.75,31.94,76.49,141.03,111.64,108.75,93.01,42.26,62.2,191.87,141.57,130.28,134.15,162.61,112.48,48.04,241.56,26.79,20.14,30.32,33.93
Uttarakhand,34.5,25.5,32.25,83.75,123.75,106.75,109.75,100.75,41.25,62.5,157.75,140.75,139.25,142.5,151.0,114.0,51.5,265.0,28.25,22.25,31.0,36.75
West Bengal,43.48,29.22,37.62,78.38,139.81,114.1,122.48,106.9,43.45,54.5,195.6,132.2,113.95,119.1,135.25,102.11,52.1,278.05,21.2,20.95,34.6,40.4
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
