,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  29/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.13,30.17,35.33,81.52,148.5,117.69,114.48,93.44,43.73,58.2,193.77,139.2,127.82,125.82,125.72,101.27,52.92,277.59,22.23,24.12,33.53,30.42
Maximum Price,65.0,59.0,67.0,133.0,197.0,176.0,176.0,148.0,70.0,80.0,275.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,31.0,57.0,65.0,90.0
Minimum Price,23.0,21.0,26.0,58.0,75.0,70.0,80.0,70.0,36.0,40.0,125.0,108.0,93.0,96.0,103.0,80.0,33.0,155.0,9.0,11.0,15.0,9.0
Modal Price,40.0,27.0,35.0,80.0,160.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,120.0,120.0,115.0,100.0,50.0,200.0,28.0,20.0,35.0,20.0
Andaman and Nicobar,46.0,,67.0,93.0,172.0,138.0,128.0,96.0,53.0,73.0,,176.0,213.0,,136.0,125.0,75.0,325.0,20.0,40.0,58.0,50.0
Andhra Pradesh,43.0,37.5,42.0,77.0,151.5,117.5,113.5,98.0,43.0,57.0,183.5,199.5,110.0,200.0,127.0,107.5,57.5,244.0,21.5,32.0,31.0,21.0
Arunachal pradesh,32.33,42.0,38.33,86.67,135.0,126.67,120.0,103.33,52.5,70.0,,160.0,170.0,145.0,212.5,,70.0,300.0,22.5,25.0,40.0,60.0
Assam,41.58,30.64,36.62,80.5,139.0,108.39,112.12,91.23,44.96,69.12,200.0,147.42,136.74,137.27,153.68,115.5,57.19,256.92,13.46,21.92,38.08,45.38
Bihar,38.69,26.78,33.36,77.22,143.58,114.53,111.78,81.83,43.81,55.56,193.18,136.0,125.81,129.14,167.41,111.79,49.31,276.56,22.43,19.29,31.15,35.44
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,38.0,30.0
Chhattisgarh,38.29,34.71,36.57,82.43,145.43,105.43,108.86,88.71,43.14,56.14,208.29,151.0,131.71,134.43,146.14,118.57,47.71,289.0,22.71,24.0,29.86,26.43
Delhi,39.0,28.0,31.0,88.0,170.0,133.0,123.0,90.0,43.0,53.0,214.0,145.0,126.0,126.0,141.0,99.0,58.0,247.0,26.0,25.0,38.0,25.0
DNH and DD,46.33,39.67,44.33,90.33,174.67,133.67,126.67,101.33,42.67,64.0,209.67,151.67,140.0,135.67,131.33,99.0,69.0,350.0,27.0,20.0,32.33,17.67
Goa,47.0,43.5,42.0,95.0,176.5,134.0,126.5,96.5,44.0,57.5,221.0,161.5,144.0,150.5,120.0,100.0,56.5,315.5,24.5,35.0,37.5,24.0
Gujarat,36.6,32.8,36.4,76.0,139.2,110.2,105.0,90.0,41.25,57.25,191.6,141.25,133.0,142.8,130.25,110.5,51.0,273.0,14.0,24.0,29.0,32.5
Haryana,40.5,26.75,33.0,70.75,129.25,102.75,104.25,95.5,42.75,59.0,186.5,144.75,133.0,130.25,162.25,111.5,45.75,236.5,26.0,16.5,30.25,31.5
Himachal Pradesh,38.08,21.0,32.33,82.17,148.5,123.33,114.83,90.5,45.25,53.25,219.0,163.67,137.83,131.0,150.0,120.5,47.5,258.75,27.58,31.5,37.58,30.33
Jammu and Kashmir,37.0,36.5,45.5,91.0,125.0,121.0,121.0,108.0,49.0,48.5,243.0,144.0,138.5,130.0,174.0,158.0,49.0,359.0,28.0,30.0,35.0,35.0
Jharkhand,38.72,31.76,34.89,79.67,147.56,109.61,108.78,82.72,44.82,57.5,183.08,138.33,124.33,131.24,154.94,106.65,48.88,288.63,23.12,19.39,30.33,35.61
Karnataka,56.0,42.66,45.97,90.22,160.13,133.53,123.88,107.13,42.19,50.34,180.34,167.91,122.75,138.68,122.84,97.78,51.56,290.47,19.56,30.81,34.59,18.88
Kerala,49.5,45.6,48.44,100.9,175.7,141.33,135.75,111.78,43.3,53.4,232.33,188.43,149.0,,119.82,99.0,61.6,239.5,14.2,34.9,34.8,22.4
Madhya Pradesh,37.67,27.74,33.41,78.25,151.53,108.23,109.64,89.64,42.77,58.51,193.77,135.59,118.84,110.89,142.23,110.26,47.95,241.67,18.88,19.84,27.4,22.67
Maharashtra,47.74,38.05,42.37,82.74,167.79,122.95,121.68,97.74,43.58,58.11,190.63,160.0,129.84,109.05,123.74,102.44,52.58,293.16,23.79,26.95,30.37,19.53
Meghalaya,38.5,38.56,37.5,80.17,138.57,128.0,117.11,89.9,46.3,72.5,139.0,133.8,140.0,135.6,172.0,147.6,79.33,356.0,22.3,25.5,47.7,40.9
Mizoram,47.5,42.33,45.11,98.44,132.14,122.83,122.25,101.2,49.9,76.11,174.0,191.89,204.67,136.7,199.0,134.2,112.88,462.0,28.4,38.6,52.3,73.83
Nagaland,40.75,41.25,48.44,96.67,131.92,121.63,121.33,97.06,50.33,70.31,200.0,140.63,172.0,150.19,200.0,137.5,78.13,318.93,17.87,27.31,51.88,54.38
Odisha,37.36,37.78,40.04,79.4,156.16,113.2,111.64,80.92,43.88,51.63,175.29,139.56,117.74,136.36,117.44,94.6,50.29,270.11,26.32,20.48,32.96,29.48
Punjab,37.4,24.67,29.53,83.07,149.67,119.6,114.67,98.33,43.53,59.07,195.79,124.93,119.6,117.73,138.57,106.75,51.13,265.07,26.07,19.27,33.53,28.13
Rajasthan,40.0,29.88,32.5,73.0,117.92,107.04,100.33,87.83,41.57,51.64,185.92,151.42,126.65,138.74,155.11,138.67,42.78,300.0,19.22,21.96,24.61,36.5
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,446.0,19.0,34.6,39.0,41.0
Tamil Nadu,56.1,44.34,52.71,87.13,175.29,138.32,123.77,94.59,42.74,46.0,213.13,180.68,122.74,,113.48,90.58,54.26,287.8,23.45,35.1,36.32,18.23
Telangana,49.2,38.7,43.1,71.6,139.9,116.5,108.3,90.2,40.0,62.3,167.7,172.2,118.4,147.83,116.1,97.7,55.2,297.9,18.8,25.67,29.33,25.33
Tripura,39.33,,39.0,88.0,145.0,131.5,112.67,110.67,47.0,70.33,,133.67,136.5,119.33,153.67,102.67,75.0,239.33,10.67,25.0,43.67,49.67
Uttar Pradesh,36.73,25.76,32.08,77.17,145.35,112.28,109.51,93.24,42.57,62.45,191.5,141.0,130.19,133.47,160.88,112.49,48.55,242.28,26.73,19.8,30.0,27.25
Uttarakhand,35.25,25.5,32.75,88.0,131.75,111.0,114.25,98.25,41.5,62.5,163.0,139.75,135.5,138.25,150.25,112.0,51.25,265.0,28.25,22.5,29.25,25.25
West Bengal,43.5,29.3,37.77,79.41,144.59,115.9,124.59,106.95,43.86,54.86,198.55,132.81,113.67,117.71,134.33,101.37,51.38,270.62,21.9,20.57,34.9,36.1
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
