,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  30/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.29,30.23,35.71,81.72,150.28,118.1,114.92,93.47,43.73,58.36,192.87,139.09,127.49,123.73,125.32,101.08,52.66,274.64,22.17,24.0,33.31,29.58
Maximum Price,65.0,52.0,70.0,133.0,197.0,177.0,161.0,148.0,70.0,80.0,257.0,248.0,220.0,189.0,244.0,198.0,143.0,558.0,31.0,50.0,65.0,70.0
Minimum Price,26.0,21.0,27.0,58.0,75.0,70.0,80.0,70.0,36.0,40.0,120.0,110.0,93.0,96.0,103.0,80.0,35.0,155.0,9.0,11.0,14.0,9.0
Modal Price,40.0,27.0,30.0,80.0,160.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,120.0,120.0,115.0,100.0,50.0,240.0,28.0,20.0,30.0,20.0
Andaman and Nicobar,43.0,,68.0,92.0,165.5,144.0,133.0,98.5,55.5,72.5,226.5,188.0,187.5,,143.0,122.0,79.0,300.0,21.0,45.0,60.0,62.5
Andhra Pradesh,55.0,40.67,41.0,85.33,170.67,127.33,124.0,102.67,43.33,54.67,174.67,167.67,108.67,134.0,111.33,90.67,60.67,398.67,23.0,28.67,32.0,18.0
Arunachal pradesh,36.0,,40.0,90.0,155.0,130.0,130.0,100.0,55.0,72.0,,130.0,120.0,130.0,200.0,,,,15.0,25.0,45.0,60.0
Assam,42.04,30.64,36.79,80.29,139.19,109.04,112.07,91.82,45.29,69.43,199.67,147.43,137.29,139.25,154.96,115.5,57.04,256.56,13.29,22.07,37.52,44.21
Bihar,38.79,26.82,33.06,77.06,144.06,114.44,112.41,81.62,43.74,55.29,194.06,135.35,125.03,128.38,167.96,111.25,48.59,276.85,22.3,19.26,30.06,35.03
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,38.0,30.0
Chhattisgarh,40.13,35.88,39.25,81.88,145.5,104.75,107.88,87.5,42.63,62.71,185.29,147.83,123.25,127.71,143.71,111.86,50.13,290.25,25.13,24.57,30.57,26.86
Delhi,39.0,28.0,31.0,88.0,170.0,133.0,123.0,90.0,43.0,53.0,214.0,145.0,126.0,126.0,141.0,99.0,58.0,247.0,26.0,25.0,38.0,25.0
DNH and DD,46.33,39.67,44.33,90.33,174.67,133.67,126.67,101.33,42.67,64.0,209.67,151.67,140.0,135.67,131.33,99.0,69.0,350.0,27.0,20.0,32.33,17.67
Gujarat,37.0,32.4,36.0,77.0,140.2,110.75,104.0,90.8,41.0,57.25,192.0,151.0,137.5,143.5,130.25,109.4,50.8,273.0,16.8,24.0,29.0,32.5
Haryana,44.0,26.67,33.33,74.67,128.0,106.33,106.0,97.67,43.0,59.67,186.0,145.0,129.0,132.0,168.33,115.67,46.0,243.67,25.33,15.67,32.0,32.67
Himachal Pradesh,38.0,21.0,32.42,82.67,149.33,123.33,114.0,90.5,45.25,53.25,219.0,163.67,137.83,131.0,150.0,120.5,47.5,258.75,27.58,31.42,37.5,30.83
Jammu and Kashmir,37.0,32.0,39.5,89.0,129.75,118.75,118.25,104.0,51.25,48.75,243.0,148.25,138.0,134.5,161.25,133.33,50.0,328.0,27.0,26.75,36.75,34.75
Jharkhand,38.79,31.5,35.37,80.16,148.95,110.47,109.16,83.0,44.89,57.76,180.85,137.89,123.42,130.83,154.76,106.22,48.78,293.59,23.39,19.42,30.26,34.05
Karnataka,56.03,42.58,46.26,90.94,160.45,133.74,124.03,107.42,42.29,50.0,180.0,168.42,123.1,138.5,122.55,97.77,51.61,286.55,19.26,30.42,34.32,18.5
Kerala,50.75,44.5,47.82,102.83,173.58,141.45,133.0,114.25,43.08,53.92,232.0,192.11,148.92,,119.5,98.82,62.42,228.58,13.92,36.75,34.75,26.58
Madhya Pradesh,37.98,27.68,33.39,78.63,151.17,108.2,110.17,89.73,42.5,58.08,194.97,137.0,120.35,111.63,142.64,109.43,47.67,251.97,19.4,19.67,27.31,22.38
Maharashtra,47.68,38.05,42.37,82.79,168.32,123.11,122.05,97.42,43.58,58.11,190.68,159.83,129.42,109.16,123.63,102.5,52.74,293.16,23.84,26.84,30.42,19.32
Meghalaya,38.14,38.33,37.0,78.6,133.0,125.4,116.29,90.29,45.71,72.43,139.0,137.14,140.0,141.86,184.33,159.5,77.8,341.43,25.0,26.57,48.14,40.14
Mizoram,50.0,37.5,52.5,98.0,,,120.0,107.5,50.0,77.5,,190.0,220.0,140.0,,,121.5,520.0,27.5,40.0,60.0,70.0
Nagaland,40.8,41.86,48.0,95.91,130.27,123.29,121.07,97.53,50.07,72.23,200.0,142.0,170.0,150.87,201.67,137.5,78.33,317.5,17.53,27.13,51.33,54.0
Odisha,37.8,37.89,40.12,79.72,159.28,114.88,112.08,81.24,44.16,51.83,166.4,139.04,116.48,135.22,116.08,93.88,50.71,276.35,25.92,20.4,32.88,29.0
Puducherry,47.0,41.0,33.0,73.0,178.0,135.0,120.0,89.0,41.0,46.0,207.0,170.0,140.0,,110.0,90.0,50.0,393.0,22.0,32.0,34.0,16.0
Punjab,37.36,24.27,29.27,83.27,150.64,119.91,115.09,96.0,43.55,59.55,200.3,125.55,120.09,116.82,136.8,103.11,52.73,267.73,25.91,19.45,34.64,28.09
Rajasthan,36.67,28.83,32.67,71.0,122.83,106.33,103.5,89.5,40.5,52.33,179.0,149.83,125.17,137.0,160.17,111.0,41.5,296.5,20.33,20.5,24.17,38.5
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,446.0,19.0,34.6,39.0,41.0
Tamil Nadu,56.46,44.0,52.12,87.69,176.04,137.85,124.23,93.13,42.73,45.73,212.65,182.26,122.92,,113.5,90.88,54.38,290.06,24.12,35.69,35.85,17.96
Telangana,49.4,39.1,43.1,72.1,140.7,116.7,108.5,89.9,40.0,62.3,167.7,171.2,118.6,148.17,116.0,97.7,55.2,297.9,18.8,25.67,29.67,25.56
Tripura,40.0,,38.5,87.0,140.0,127.67,112.75,107.5,46.75,70.75,,132.75,127.67,118.0,148.5,101.5,70.25,222.0,11.0,25.25,42.5,51.0
Uttar Pradesh,36.66,25.64,32.01,77.12,145.81,112.03,109.41,92.93,42.59,62.34,191.08,140.49,130.16,133.16,160.67,112.45,48.65,241.61,26.68,19.86,30.04,26.82
Uttarakhand,35.0,25.75,32.5,88.0,132.5,111.25,114.75,99.0,41.5,62.5,163.0,139.5,135.0,138.0,150.25,112.0,51.25,265.0,28.25,22.5,29.25,23.5
West Bengal,42.71,28.5,37.59,77.29,140.12,114.13,122.18,106.0,43.8,54.53,195.3,131.94,113.06,117.5,133.69,102.5,49.4,257.13,21.27,20.44,34.25,35.63
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
