,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  20/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.33,29.69,35.11,81.14,146.6,117.71,114.35,93.92,43.72,58.6,192.35,139.3,128.9,125.82,127.86,102.39,53.23,279.06,22.09,24.36,33.38,33.29
Maximum Price,65.0,59.0,70.0,133.0,190.0,171.0,173.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,31.0,60.0,65.0,80.0
Minimum Price,23.0,21.0,26.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,123.0,108.0,93.0,94.0,104.0,83.0,35.0,155.0,9.0,11.0,14.0,9.0
Modal Price,40.0,28.0,30.0,80.0,150.0,110.0,120.0,100.0,42.0,60.0,200.0,140.0,125.0,120.0,130.0,100.0,50.0,200.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,43.0,,67.33,90.67,166.0,141.33,128.0,97.0,54.0,73.33,226.5,185.33,196.0,,139.33,122.33,77.33,308.33,20.67,46.67,59.33,67.67
Andhra Pradesh,52.2,40.8,43.8,78.4,158.8,122.4,116.2,100.6,43.2,58.2,177.8,195.6,117.2,175.0,120.0,99.4,58.2,325.0,21.2,31.6,31.8,19.6
Arunachal pradesh,34.5,42.0,38.0,90.5,139.5,122.5,120.5,104.25,51.0,71.0,,157.67,154.33,142.67,212.5,,70.0,300.0,21.0,25.0,40.0,61.0
Assam,41.78,30.64,36.93,79.52,137.08,108.96,111.74,91.19,45.0,69.33,200.5,147.78,137.75,138.48,154.18,115.72,57.41,258.15,13.37,22.0,36.59,49.63
Bihar,38.27,26.46,32.84,76.25,140.47,113.53,109.03,81.24,43.56,55.5,192.94,137.0,125.46,129.92,168.69,111.47,48.67,275.94,22.44,19.32,30.49,39.24
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,30.0
