,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  19/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.41,29.77,35.32,81.42,147.02,117.85,114.41,93.99,43.78,58.85,192.05,139.26,128.79,125.56,128.1,102.29,53.53,278.71,22.13,24.52,33.6,35.95
Maximum Price,65.0,59.0,70.0,133.0,190.0,169.0,173.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,36.0,60.0,63.0,120.0
Minimum Price,23.0,21.0,27.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,123.0,110.0,93.0,96.0,104.0,83.0,35.0,155.0,9.0,11.0,14.0,9.0
Modal Price,40.0,40.0,30.0,80.0,160.0,110.0,120.0,100.0,42.0,60.0,200.0,130.0,120.0,125.0,150.0,100.0,50.0,230.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,43.0,,67.33,90.67,165.33,141.33,128.0,96.67,54.0,73.33,226.5,184.67,196.0,,139.33,122.33,77.33,308.33,20.67,47.33,59.33,70.0
Andhra Pradesh,52.2,40.8,43.8,78.2,158.8,122.4,116.2,100.6,43.2,58.2,177.8,195.6,117.2,175.0,119.2,99.4,58.2,325.0,21.2,31.4,31.6,19.4
Arunachal pradesh,34.5,42.0,38.0,90.5,139.5,122.5,120.5,104.25,51.0,71.0,,157.67,154.33,141.0,212.5,,70.0,300.0,21.0,26.0,38.33,63.33
Assam,42.0,30.64,36.82,79.43,137.07,108.75,111.5,91.57,45.15,69.67,200.5,147.54,137.57,139.64,155.86,116.06,57.19,257.54,13.48,21.86,36.21,58.0
Bihar,38.06,26.36,32.61,76.22,141.28,113.31,109.44,80.5,43.74,55.69,194.38,136.72,124.14,129.33,167.36,110.59,48.66,274.4,22.94,19.29,30.86,42.34
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,30.0
Chhattisgarh,41.0,34.67,37.83,81.33,138.6,101.33,106.5,86.67,42.17,61.5,182.4,143.6,120.5,124.2,145.2,109.5,49.67,288.83,24.67,24.33,33.17,28.0
Delhi,39.0,28.0,31.0,88.0,167.0,133.0,122.0,91.0,42.0,53.0,218.0,143.0,129.0,128.0,143.0,99.0,60.0,247.0,26.0,25.0,38.0,28.0
DNH and DD,45.67,38.33,44.33,87.67,167.67,132.0,126.33,98.67,42.67,64.0,205.33,152.0,140.0,133.67,132.0,99.33,69.0,351.0,27.0,20.33,32.0,20.33
Gujarat,36.75,33.0,37.25,75.25,135.0,110.5,103.5,91.5,41.25,57.25,192.0,141.75,137.5,143.5,130.25,110.5,51.0,273.0,14.0,25.25,29.0,49.0
Haryana,40.5,26.5,33.25,70.5,128.25,104.25,103.75,94.25,42.75,59.0,184.75,142.75,132.25,129.25,162.0,113.5,45.25,230.0,25.75,16.75,28.0,33.5
Himachal Pradesh,38.42,21.0,32.42,81.42,146.92,123.17,115.0,90.42,44.67,53.25,219.5,165.92,136.36,131.9,150.6,120.75,46.75,258.75,27.58,31.67,37.17,32.0
Jammu and Kashmir,38.0,31.33,41.33,89.67,129.67,117.0,117.0,101.0,52.0,48.33,243.0,153.33,140.33,137.67,167.0,121.0,50.0,316.33,26.67,25.67,39.33,33.67
Jharkhand,38.59,31.25,34.88,80.53,149.18,109.24,107.82,82.65,44.69,57.67,184.09,138.71,122.18,132.69,153.53,106.13,48.75,298.8,23.31,19.12,29.35,38.94
Karnataka,55.63,42.17,46.37,89.87,158.53,133.03,123.33,106.07,42.03,50.07,179.73,167.27,123.3,139.03,124.33,97.63,52.23,288.77,18.7,30.03,34.53,22.23
Kerala,50.69,43.15,46.38,99.46,174.67,142.54,135.5,110.92,43.31,53.38,227.86,191.7,152.69,,123.0,101.42,63.54,228.85,14.15,37.54,34.15,27.0
Madhya Pradesh,38.05,27.61,33.51,78.34,149.85,107.0,109.07,90.44,42.4,57.77,193.1,136.76,119.88,112.27,143.9,110.81,47.7,250.95,19.43,19.98,26.93,27.46
Maharashtra,47.37,38.0,42.63,81.21,164.95,122.21,120.68,98.32,43.79,58.16,190.95,160.17,131.26,111.79,125.16,104.0,52.37,293.11,23.74,26.53,30.47,22.16
Meghalaya,39.67,39.0,38.33,79.5,136.5,129.5,115.0,90.78,46.11,72.44,139.0,135.0,134.0,137.33,167.67,142.0,79.33,358.89,22.67,25.56,47.56,47.67
Mizoram,47.09,42.44,44.7,98.78,131.43,122.43,122.5,101.64,49.73,76.0,174.0,193.2,187.75,137.5,220.0,135.8,112.88,467.8,28.55,38.45,52.27,82.7
Nagaland,40.5,40.13,48.19,97.5,130.25,122.13,121.33,97.06,50.38,71.36,200.0,141.25,178.33,150.5,186.0,137.5,77.22,311.0,17.69,28.0,50.33,70.67
Odisha,36.6,38.38,40.0,79.5,156.0,116.2,112.5,80.7,45.3,53.2,161.0,137.4,114.89,125.0,116.4,94.9,50.4,243.63,26.4,19.6,33.0,32.1
