,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  06/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.74,29.78,35.02,79.31,142.7,116.05,112.08,93.2,43.48,58.68,191.57,140.4,128.36,126.9,128.29,103.69,52.5,281.48,22.49,24.44,33.33,48.32
Maximum Price,65.0,51.0,67.0,133.0,188.0,163.0,155.0,147.0,70.0,88.0,270.0,258.0,220.0,200.0,227.0,198.0,150.0,558.0,35.0,60.0,65.0,150.0
Minimum Price,26.0,21.0,25.0,54.0,75.0,70.0,80.0,66.0,36.0,40.0,123.0,108.0,93.0,97.0,108.0,83.0,34.0,154.0,9.0,11.0,14.0,14.0
Modal Price,40.0,25.0,30.0,80.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,130.0,120.0,120.0,100.0,50.0,200.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,192.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,97.67
Andhra Pradesh,52.2,40.8,44.2,76.2,152.8,122.0,115.2,99.4,43.6,58.2,177.8,196.0,117.2,175.0,119.0,99.0,58.0,325.0,21.2,31.6,31.0,28.4
Arunachal pradesh,38.33,42.0,39.33,91.67,140.0,121.67,121.67,105.0,51.5,73.0,,142.5,120.0,131.5,200.0,,70.0,,16.5,26.5,45.0,88.5
Assam,41.92,31.78,35.88,78.5,136.7,107.8,109.75,90.83,45.0,69.58,199.5,146.38,136.65,138.13,156.85,114.07,56.71,257.43,13.54,22.08,35.54,80.59
Bihar,37.79,25.75,32.29,75.11,137.89,112.32,108.32,80.57,43.52,56.04,193.31,138.36,125.18,130.07,163.87,114.04,48.04,281.85,24.19,19.89,31.64,52.04
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,35.0
Chhattisgarh,37.78,33.78,36.44,77.89,136.0,103.56,106.44,87.78,41.78,58.78,190.56,148.22,126.11,130.33,144.78,118.11,48.67,283.89,23.22,23.56,30.33,39.67
Delhi,39.0,28.0,31.0,83.0,165.0,132.0,115.0,91.0,42.0,53.0,218.0,143.0,129.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,38.0,38.0
DNH and DD,45.67,38.67,44.33,85.33,155.33,130.67,121.67,95.33,42.33,64.0,211.0,153.33,138.67,129.33,131.67,100.67,68.33,349.0,27.0,20.0,28.33,28.33
Goa,47.0,43.5,42.0,85.0,168.5,130.0,124.0,97.5,43.0,57.5,219.5,161.5,144.0,152.5,122.5,101.5,58.5,315.5,24.5,35.0,37.5,34.0
