,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  26/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.35,30.09,35.36,81.44,148.23,117.68,114.49,93.81,43.74,58.33,192.54,139.21,128.1,125.94,126.44,101.41,53.19,277.96,22.23,24.26,33.46,31.07
Maximum Price,65.0,59.0,70.0,133.0,195.0,174.0,173.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,41.0,57.0,65.0,83.0
Minimum Price,26.0,21.0,26.0,58.0,75.0,70.0,80.0,70.0,36.0,40.0,120.0,108.0,93.0,96.0,102.0,82.0,35.0,155.0,9.0,11.0,14.0,9.0
Modal Price,40.0,27.0,30.0,80.0,120.0,110.0,110.0,90.0,42.0,60.0,200.0,140.0,120.0,120.0,115.0,100.0,50.0,240.0,28.0,20.0,30.0,20.0
Andaman and Nicobar,44.0,,67.67,92.0,167.0,142.0,131.0,97.67,54.33,72.67,226.5,185.33,196.0,,140.67,123.0,77.33,308.33,20.67,46.67,59.33,58.33
Andhra Pradesh,51.8,41.2,44.6,81.0,161.4,124.2,118.6,102.0,43.2,59.2,176.8,192.4,118.2,174.0,118.8,97.8,59.4,337.0,22.0,32.0,32.4,19.8
Arunachal pradesh,38.33,42.0,39.0,94.0,146.0,123.33,124.33,105.67,51.5,72.5,,142.5,120.0,130.0,200.0,,70.0,,16.5,24.0,41.5,58.5
Assam,41.96,30.64,36.75,79.82,137.93,108.83,111.86,91.64,45.18,69.29,200.5,147.41,137.52,138.85,154.36,112.88,57.07,256.41,13.32,21.89,37.46,47.16
Bihar,38.71,27.03,33.0,77.35,144.97,115.58,112.03,81.87,43.74,55.74,189.73,135.48,125.29,129.39,171.32,110.96,49.39,273.32,22.61,19.39,30.94,36.06
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,38.0,30.0
Chhattisgarh,38.22,34.44,37.56,82.11,143.78,104.22,107.44,89.11,42.22,58.33,191.78,149.33,126.67,133.22,144.11,115.11,48.67,286.33,23.56,23.89,30.33,25.0
Delhi,39.0,28.0,31.0,88.0,170.0,133.0,123.0,91.0,43.0,53.0,216.0,146.0,129.0,126.0,143.0,99.0,60.0,247.0,26.0,25.0,38.0,27.0
DNH and DD,46.67,39.0,44.33,89.0,171.33,131.67,126.33,100.0,42.67,64.0,209.67,151.67,140.0,134.67,131.33,99.0,69.0,350.0,27.0,20.33,32.33,18.33
Goa,47.0,43.5,42.0,92.5,176.5,134.0,127.0,97.5,44.0,57.5,221.0,161.5,144.0,150.5,120.0,100.0,58.5,315.5,24.5,34.0,37.5,24.0
Gujarat,37.83,32.5,36.5,76.5,139.33,111.83,104.17,90.83,41.33,58.33,189.67,147.5,128.67,135.67,127.17,110.0,50.33,274.4,17.0,24.17,27.17,30.5
Haryana,40.5,26.75,33.0,70.75,128.25,103.0,104.25,95.5,42.75,59.0,186.5,144.75,133.0,130.0,162.25,111.5,45.75,235.75,26.0,16.5,30.25,32.0
Himachal Pradesh,38.42,21.0,32.42,81.92,147.75,124.0,115.42,90.5,44.92,53.25,219.5,165.75,138.0,131.7,150.6,120.75,47.08,258.75,27.58,31.5,36.83,30.67
Jammu and Kashmir,38.0,31.67,41.33,89.67,129.67,117.67,117.0,101.0,52.67,48.33,243.0,153.33,140.33,137.67,165.0,121.0,50.0,315.67,26.67,25.67,39.0,33.0
Jharkhand,38.58,31.5,35.16,79.58,148.89,109.95,109.16,82.53,44.88,57.94,180.54,138.47,123.37,131.0,153.82,106.0,49.35,294.69,24.18,19.16,29.63,36.16
Karnataka,55.71,42.48,45.97,90.74,160.13,133.84,123.48,107.39,42.23,50.13,180.55,168.19,123.84,138.47,123.16,98.03,51.94,292.35,19.58,30.65,35.13,22.29
Kerala,50.33,44.82,46.33,99.8,171.7,140.6,134.89,113.3,43.17,53.25,232.33,195.88,152.17,,120.92,100.18,62.17,234.17,14.0,36.25,34.17,26.25
Madhya Pradesh,37.89,27.61,33.32,78.14,149.93,107.64,109.27,89.8,42.64,57.72,191.84,136.23,119.07,111.18,142.74,110.61,47.68,243.05,19.18,19.66,26.7,22.25
Maharashtra,47.84,38.11,42.37,82.21,166.89,122.89,121.79,98.05,43.74,58.16,190.74,160.72,130.37,109.58,123.89,103.38,52.58,293.58,23.79,26.32,30.16,20.37
Meghalaya,39.44,38.75,37.89,77.4,135.83,127.4,115.88,90.33,46.44,72.56,139.0,134.44,141.25,138.11,189.0,154.33,77.8,343.33,22.56,25.11,47.67,42.33
Mizoram,47.82,42.44,44.7,98.78,131.43,122.43,122.5,101.64,49.73,76.0,174.0,192.2,188.5,135.2,211.0,135.2,112.88,468.0,28.64,38.09,51.18,69.2
Nagaland,41.13,41.25,49.0,97.5,127.09,123.29,121.07,97.2,50.07,71.08,200.0,142.67,170.0,151.87,198.75,137.5,77.78,308.57,17.87,27.47,53.0,55.33
Odisha,37.48,37.44,40.2,79.28,158.36,113.68,111.6,80.72,43.92,51.88,171.0,138.4,117.43,133.0,116.28,93.72,50.8,280.9,26.2,20.08,32.84,29.48
Punjab,37.07,24.64,29.36,82.64,148.21,119.14,114.93,99.36,43.07,59.21,198.69,125.64,120.0,117.79,139.38,106.82,51.71,266.71,25.79,19.93,33.0,28.14
Rajasthan,39.23,29.58,32.46,72.88,118.77,106.27,101.73,88.81,41.58,51.64,187.31,152.31,127.79,138.36,160.0,133.75,43.23,298.92,20.19,21.85,25.12,37.84
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,446.0,19.0,34.6,39.0,41.0
Tamil Nadu,56.03,44.07,52.71,86.61,175.52,137.97,124.23,94.26,42.77,46.0,212.84,180.68,122.77,,114.35,90.87,54.13,287.85,23.48,35.03,36.58,18.03
Telangana,49.7,39.0,43.5,72.2,141.3,117.1,108.8,90.6,40.0,63.22,168.1,171.3,117.9,149.33,116.1,97.7,56.11,297.67,18.89,27.4,30.7,26.9
Tripura,39.75,,38.5,87.0,140.0,127.67,112.5,107.5,46.75,70.75,,132.5,127.67,118.0,148.5,102.0,69.25,222.0,11.0,23.25,42.5,50.5
Uttar Pradesh,36.63,25.73,32.01,77.07,144.57,112.09,109.19,93.32,42.51,62.23,191.1,141.24,130.15,133.67,161.04,112.61,48.65,242.35,26.67,19.76,29.83,27.67
Uttarakhand,35.25,25.75,33.0,87.0,130.75,110.5,113.25,98.25,41.5,62.75,162.75,140.0,135.25,138.0,150.25,111.5,51.25,265.25,28.25,22.25,30.75,28.5
West Bengal,44.09,29.0,37.59,79.05,145.32,115.29,124.27,107.14,43.76,54.76,198.55,132.1,114.33,116.1,132.57,101.05,51.86,265.05,22.19,20.33,35.05,37.52
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
