,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  16/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.22,30.0,35.56,80.89,148.03,117.77,114.17,93.51,43.55,58.06,192.16,139.84,128.38,125.13,127.19,102.07,52.64,276.31,22.12,24.32,33.53,36.15
Maximum Price,65.0,59.0,67.0,133.0,189.0,169.0,173.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,33.0,60.0,65.0,123.0
Minimum Price,26.0,21.0,27.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,125.0,110.0,93.0,96.0,104.0,83.0,35.0,155.0,9.0,11.0,14.0,9.0
Modal Price,40.0,40.0,30.0,80.0,150.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,120.0,118.0,120.0,100.0,50.0,200.0,28.0,20.0,35.0,40.0
Andaman and Nicobar,43.0,,66.0,90.67,165.33,141.33,128.0,96.67,54.0,73.33,226.5,185.33,196.0,,139.33,122.33,77.33,308.33,20.67,47.33,59.33,70.0
Andhra Pradesh,52.2,40.8,43.8,78.2,158.8,122.4,116.2,100.6,43.2,58.2,177.8,195.6,117.2,175.0,119.2,99.4,58.2,325.0,21.2,31.4,31.6,21.0
Arunachal pradesh,36.0,42.0,40.0,92.5,142.5,130.0,125.0,105.0,55.0,72.0,,130.0,120.0,130.0,200.0,,,,15.0,25.0,40.0,60.0
Assam,42.27,31.57,36.55,80.5,138.9,108.17,110.68,91.91,45.27,70.27,200.4,146.73,137.24,138.14,156.16,116.08,58.14,259.19,13.45,21.68,36.41,62.37
Bihar,38.56,26.31,32.81,76.63,142.38,113.81,109.22,81.31,43.56,55.25,192.0,136.19,125.16,128.03,170.81,109.48,49.69,277.0,22.56,19.31,31.69,43.81
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,30.0
Chhattisgarh,41.4,35.0,37.2,82.0,139.75,103.6,110.2,86.8,42.6,62.5,190.4,143.0,123.83,127.8,150.4,115.17,48.2,303.6,24.4,25.2,34.4,32.4
Delhi,39.0,28.0,31.0,88.0,168.0,132.0,120.0,91.0,42.0,53.0,218.0,145.0,129.0,128.0,143.0,99.0,60.0,247.0,26.0,25.0,38.0,28.0
DNH and DD,45.0,38.33,44.33,87.0,165.33,132.33,126.33,96.67,42.33,64.0,208.33,152.0,140.33,135.0,132.67,100.0,69.0,351.0,27.0,20.33,32.0,22.67
Gujarat,36.75,33.0,37.25,75.25,135.0,110.5,103.5,91.5,41.25,57.25,192.0,141.75,137.5,143.5,130.25,110.5,51.0,273.0,14.0,25.25,29.0,49.0
Haryana,40.5,26.5,33.25,70.5,128.25,104.25,103.75,94.25,42.75,58.75,184.75,142.75,132.25,129.25,162.0,113.5,45.25,230.0,25.75,17.0,27.25,34.75
Himachal Pradesh,38.33,21.0,32.25,80.83,146.75,123.17,114.67,89.92,44.58,53.25,219.5,166.17,136.36,133.1,152.4,121.5,46.83,258.75,27.58,31.75,37.67,31.92
Jammu and Kashmir,37.67,31.33,41.33,89.33,130.67,117.67,117.0,101.0,52.0,48.0,243.0,153.67,141.33,137.67,167.67,121.0,50.0,316.33,26.67,26.67,40.0,36.33
Jharkhand,38.26,31.56,35.21,79.26,147.84,109.42,108.68,82.16,44.67,57.47,180.92,139.53,123.26,131.72,154.29,106.94,48.56,298.94,23.39,19.63,29.11,41.05
Karnataka,55.47,42.19,45.72,89.53,157.88,133.06,123.31,106.13,41.84,50.22,180.94,168.56,123.09,139.61,123.97,98.69,52.06,291.44,19.28,30.31,34.56,23.31
Kerala,50.31,43.86,46.92,98.15,171.15,142.31,134.69,112.07,43.08,53.77,231.5,193.22,153.23,,121.77,100.5,62.54,230.46,13.92,35.54,34.54,27.08
